No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6cl6C, 0.5603, 3.28, 0.767, 364, 73, STRUCTURE OF P. AERUGINOSA R2 PYOCIN FIBER PA0620 COMPRISING C- TERMINAL RESIDUES 323-691 
2, 6cl6E, 0.5600, 3.28, 0.767, 364, 73, STRUCTURE OF P. AERUGINOSA R2 PYOCIN FIBER PA0620 COMPRISING C- TERMINAL RESIDUES 323-691 
3, 6cl5F, 0.5600, 3.41, 0.757, 374, 74, STRUCTURE OF P. AERUGINOSA R1 PYOCIN FIBER PALES_06171 COMPRISING C- TERMINAL RESIDUES 323-701 
4, 6cl5C, 0.5600, 3.41, 0.757, 374, 74, STRUCTURE OF P. AERUGINOSA R1 PYOCIN FIBER PALES_06171 COMPRISING C- TERMINAL RESIDUES 323-701 
5, 6cl5B, 0.5599, 3.40, 0.757, 374, 74, STRUCTURE OF P. AERUGINOSA R1 PYOCIN FIBER PALES_06171 COMPRISING C- TERMINAL RESIDUES 323-701 
6, 6cl6F, 0.5596, 3.40, 0.757, 364, 74, STRUCTURE OF P. AERUGINOSA R2 PYOCIN FIBER PA0620 COMPRISING C- TERMINAL RESIDUES 323-691 
7, 6cl5E, 0.5586, 3.41, 0.757, 374, 74, STRUCTURE OF P. AERUGINOSA R1 PYOCIN FIBER PALES_06171 COMPRISING C- TERMINAL RESIDUES 323-701 
8, 6cl5A, 0.5563, 3.42, 0.757, 374, 74, STRUCTURE OF P. AERUGINOSA R1 PYOCIN FIBER PALES_06171 COMPRISING C- TERMINAL RESIDUES 323-701 
9, 6cl5D, 0.5561, 3.43, 0.757, 374, 74, STRUCTURE OF P. AERUGINOSA R1 PYOCIN FIBER PALES_06171 COMPRISING C- TERMINAL RESIDUES 323-701 
10, 6cl6D, 0.5549, 3.43, 0.757, 364, 74, STRUCTURE OF P. AERUGINOSA R2 PYOCIN FIBER PA0620 COMPRISING C- TERMINAL RESIDUES 323-691 
11, 6cl6A, 0.5539, 3.43, 0.743, 364, 74, STRUCTURE OF P. AERUGINOSA R2 PYOCIN FIBER PA0620 COMPRISING C- TERMINAL RESIDUES 323-691 
12, 6cl6B, 0.5524, 3.44, 0.757, 364, 74, STRUCTURE OF P. AERUGINOSA R2 PYOCIN FIBER PA0620 COMPRISING C- TERMINAL RESIDUES 323-691 
13, 1ygaA, 0.5478, 2.69, 0.065, 336, 62, CRYSTAL STRUCTURE OF SACCHAROMYCES CEREVISIAE YN9A PROTEIN NEW YORK STRUCTURAL GENOMICS CONSORTIUM
14, 1ygaB, 0.5474, 2.68, 0.065, 336, 62, CRYSTAL STRUCTURE OF SACCHAROMYCES CEREVISIAE YN9A PROTEIN NEW YORK STRUCTURAL GENOMICS CONSORTIUM
15, 1nszA, 0.5407, 2.68, 0.082, 340, 61, CRYSTAL STRUCTURE OF GALACTOSE MUTAROTASE FROM LACTOCOCCUS LACTIS MUTANT H170N COMPLEXED WITH GLUCOSE
16, 1mmxA, 0.5399, 2.69, 0.082, 339, 61, CRYSTAL STRUCTURE OF GALACTOSE MUTAROTASE FROM LACTOCOCCUS LACTIS COMPLEXED WITH D-FUCOSE
17, 1nsxA, 0.5377, 2.66, 0.082, 339, 61, CRYSTAL STRUCTURE OF GALACTOSE MUTAROTASE FROM LACTOCOCCUS LACTIS MUTANT H170N COMPLEXED WITH GALACTOSE
18, 1nsvA, 0.5375, 2.66, 0.082, 339, 61, CRYSTAL STRUCTURE OF GALACTOSE MUTAROTASE FROM LACTOCOCCUS LACTIS MUTANT H96N COMPLEXED WITH GLUCOSE
19, 1z45A, 0.5361, 4.03, 0.026, 674, 77, CRYSTAL STRUCTURE OF THE GAL10 FUSION PROTEIN GALACTOSE MUTAROTASE/UDP-GALACTOSE 4-EPIMERASE FROM SACCHAROMYCES CEREVISIAE COMPLEXED WITH NAD UDP-GLUCOSE AND GALACTOSE
20, 1mn0A, 0.5354, 2.76, 0.081, 339, 62, CRYSTAL STRUCTURE OF GALACTOSE MUTAROTASE FROM LACTOCOCCUS LACTIS COMPLEXED WITH D-XYLOSE
21, 6cu2A, 0.5255, 3.10, 0.071, 249, 70, STRUCTURE OF N-TRUNCATED R2-TYPE PYOCIN TAIL FIBER AT 2.6 ANGSTROM RESOLUTION 
22, 1mmzB, 0.5230, 3.41, 0.062, 346, 65, CRYSTAL STRUCTURE OF GALACTOSE MUTAROTASE FROM LACTOCOCCUS LACTIS COMPLEXED WITH L-ARABINOSE
23, 3os7C, 0.5196, 3.66, 0.077, 334, 65, CRYSTAL STRUCTURE OF A GALACTOSE MUTAROTASE-LIKE PROTEIN (CA_C0697) FROM CLOSTRIDIUM ACETOBUTYLICUM AT 1.80 A RESOLUTION
24, 3os7D, 0.5194, 3.63, 0.077, 334, 65, CRYSTAL STRUCTURE OF A GALACTOSE MUTAROTASE-LIKE PROTEIN (CA_C0697) FROM CLOSTRIDIUM ACETOBUTYLICUM AT 1.80 A RESOLUTION
25, 3os7A, 0.5192, 3.64, 0.077, 334, 65, CRYSTAL STRUCTURE OF A GALACTOSE MUTAROTASE-LIKE PROTEIN (CA_C0697) FROM CLOSTRIDIUM ACETOBUTYLICUM AT 1.80 A RESOLUTION
26, 3os7B, 0.5190, 3.64, 0.077, 334, 65, CRYSTAL STRUCTURE OF A GALACTOSE MUTAROTASE-LIKE PROTEIN (CA_C0697) FROM CLOSTRIDIUM ACETOBUTYLICUM AT 1.80 A RESOLUTION
27, 3k25B, 0.5164, 4.11, 0.056, 287, 72, CRYSTAL STRUCTURE OF SLR1438 PROTEIN FROM SYNECHOCYSTIS SP. PCC 6803 NORTHEAST STRUCTURAL GENOMICS CONSORTIUM TARGET SGR112
