No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d4qxpA1, 1.0000, 0.00, 1.000, 181, 181, CRYSTAL STRUCTURE OF HSTING(G230I) IN COMPLEX WITH DMXAA
2, d4qxpB1, 0.9792, 0.83, 1.000, 181, 181, CRYSTAL STRUCTURE OF HSTING(G230I) IN COMPLEX WITH DMXAA
3, d4qxrA1, 0.9750, 0.97, 0.989, 181, 181, CRYSTAL STRUCTURE OF HSTING(S162A/G230I/Q266I) IN COMPLEX WITH DMXAA
4, d4qxqA1, 0.9739, 0.98, 0.983, 181, 181, CRYSTAL STRUCTURE OF HSTING(S162A/Q266I) IN COMPLEX WITH DMXAA
5, d4qxrB1, 0.9709, 1.08, 0.989, 181, 181, CRYSTAL STRUCTURE OF HSTING(S162A/G230I/Q266I) IN COMPLEX WITH DMXAA
6, d4qxqB1, 0.9663, 1.18, 0.983, 181, 181, CRYSTAL STRUCTURE OF HSTING(S162A/Q266I) IN COMPLEX WITH DMXAA
7, d4lohA1, 0.9581, 1.25, 0.983, 183, 181, CRYSTAL STRUCTURE OF HSTING(H232) IN COMPLEX WITH C[G(2 5 )PA(3 5 ) P]
8, d4lohB1, 0.9577, 1.26, 0.983, 183, 181, CRYSTAL STRUCTURE OF HSTING(H232) IN COMPLEX WITH C[G(2 5 )PA(3 5 ) P]
9, d4qxoA1, 0.9538, 1.60, 0.972, 181, 181, CRYSTAL STRUCTURE OF HSTING(GROUP2) IN COMPLEX WITH DMXAA
10, d4f5dB_, 0.9390, 1.55, 0.989, 188, 181, ERIS/STING IN COMPLEX WITH LIGAND
11, d4f5dA_, 0.9388, 1.56, 0.989, 188, 181, ERIS/STING IN COMPLEX WITH LIGAND
12, d4ksyA_, 0.9338, 1.31, 0.989, 181, 177, CRYSTAL STRUCTURE OF STING IN COMPLEX WITH CGAMP
13, d4loiB1, 0.9248, 1.84, 0.966, 182, 178, CRYSTAL STRUCTURE OF HSTING(H232) IN COMPLEX WITH C[G(2 5 )PA(2 5 ) P]
14, d5bqxA_, 0.9190, 1.28, 0.989, 178, 174, CRYSTAL STRUCTURE OF HUMAN STING IN COMPLEX WITH 3 2 -CGAMP
15, d4f5eA_, 0.9139, 1.87, 0.967, 186, 180, CRYSTAL STRUCTURE OF ERIS/STING
16, d4jc5A_, 0.9135, 1.59, 0.774, 187, 177, IMMUNE ACTIVATOR BOUND TO RECEPTOR
17, d5grmB1, 0.9129, 1.74, 0.764, 187, 178, CRYSTAL STRUCTURE OF RAT STING IN COMPLEX WITH CYCLIC GMP-AMP WITH 2 5 AND 3 5 PHOSPHODIESTER LINKAGE(2 3 -CGAMP)
18, d4f5yB_, 0.9117, 1.70, 0.977, 193, 177, CRYSTAL STRUCTURE OF HUMAN STING CTD COMPLEX WITH C-DI-GMP
19, d4yp1B_, 0.9112, 1.67, 0.809, 182, 178, MISTING WITH CDA
20, d4lokA_, 0.9090, 1.68, 0.809, 181, 178, CRYSTAL STRUCTURE OF MSTING IN COMPLEX WITH C[G(3 5 )PA(3 5 )P]
21, d4emuB1, 0.9073, 1.27, 0.983, 174, 172, CRYSTAL STRUCTURE OF LIGAND FREE HUMAN STING
22, d4emuA1, 0.9072, 1.28, 0.988, 174, 172, CRYSTAL STRUCTURE OF LIGAND FREE HUMAN STING
23, d4f5wA_, 0.9048, 1.80, 0.977, 193, 177, CRYSTAL STRUCTURE OF LIGAND FREE HUMAN STING CTD
24, d4lojA_, 0.9046, 1.68, 0.802, 180, 177, CRYSTAL STRUCTURE OF MSTING IN COMPLEX WITH C[G(2 5 )PA(3 5 )P]
