No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2bo7B_, 1.0000, 0.00, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
2, d2bo7J_, 0.9999, 0.06, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
3, d2bo7I_, 0.9999, 0.06, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
4, d2bo7H_, 0.9999, 0.06, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
5, d2bo7G_, 0.9999, 0.05, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
6, d2bo7F_, 0.9999, 0.05, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
7, d2bo7E_, 0.9999, 0.06, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
8, d2bo7D_, 0.9999, 0.07, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
9, d2bo7C_, 0.9999, 0.06, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
10, d2bo7A_, 0.9998, 0.07, 1.000, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
11, d2bo8A_, 0.9982, 0.31, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
12, d2bo8E_, 0.9973, 0.38, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
13, d2bo8I_, 0.9971, 0.40, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
14, d2bo8F_, 0.9971, 0.40, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
15, d2bo8B_, 0.9971, 0.40, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
16, d2bo8G_, 0.9970, 0.41, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
17, d2bo8J_, 0.9969, 0.42, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
18, d2bo8D_, 0.9969, 0.41, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
19, d2bo8C_, 0.9968, 0.43, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
20, d2bo8H_, 0.9967, 0.44, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
21, d2xw4B_, 0.9956, 0.50, 0.995, 380, 375,  
22, d2xw4A_, 0.9956, 0.49, 0.995, 380, 375,  
23, d2y4lA_, 0.9955, 0.50, 0.995, 380, 375, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MANGANESE AND GDP
24, d2xw5A_, 0.9955, 0.50, 0.995, 380, 375,  
25, d2y4mA_, 0.9954, 0.50, 0.995, 377, 375, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH GDP-MANNOSE
26, d2y4mB_, 0.9953, 0.51, 0.995, 380, 375, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH GDP-MANNOSE
27, d2xw5B_, 0.9947, 0.55, 0.995, 380, 375,  
28, d2xw3A_, 0.9940, 0.59, 0.995, 380, 375,  
29, d2xw3B_, 0.9939, 0.60, 0.995, 380, 375,  
30, d2xw2A_, 0.9937, 0.62, 1.000, 381, 375,  
31, d2y4kA_, 0.9934, 0.62, 1.000, 381, 375, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MG-GDP
32, d2bo4A1, 0.9934, 0.62, 0.995, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
33, d2xw2B_, 0.9933, 0.62, 1.000, 380, 375,  
34, d2bo4E_, 0.9931, 0.63, 1.000, 381, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
35, d2bo4C_, 0.9924, 0.63, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
36, d2bo6B_, 0.9923, 0.66, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
37, d2bo6A_, 0.9923, 0.66, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
38, d2y4jA_, 0.9918, 0.66, 1.000, 380, 375, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH LACTATE
39, d2bo4D_, 0.9914, 0.99, 0.995, 377, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
40, d2bo4B_, 0.9913, 0.71, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
41, d2bo4F_, 0.9911, 0.71, 1.000, 380, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
42, d2y4kB_, 0.9889, 0.72, 1.000, 380, 375, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MG-GDP
43, d2y4lB_, 0.9886, 1.02, 0.989, 378, 374, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MANGANESE AND GDP
44, d2y4jB_, 0.9850, 0.85, 0.987, 377, 374, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH LACTATE
45, p3ckqA_, 0.5405, 0.83, 1.000, 377, 372, CRYSTAL STRUCTURE OF A MYCOBACTERIAL PROTEIN
46, p3ckjA_, 0.5404, 2.94, 0.222, 302, 225, CRYSTAL STRUCTURE OF A MYCOBACTERIAL PROTEIN
47, p3ckvA_, 0.5403, 2.94, 0.222, 302, 225, CRYSTAL STRUCTURE OF A MYCOBACTERIAL PROTEIN
48, p3cknA_, 0.5402, 2.75, 0.224, 300, 223, CRYSTAL STRUCTURE OF A MYCOBACTERIAL PROTEIN
49, p3ckoA_, 0.5396, 2.80, 0.214, 300, 224, CRYSTAL STRUCTURE OF A MYCOBACTERIAL PROTEIN
50, p4y6nA_, 0.5391, 2.76, 0.224, 300, 223, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE- GLUCOSE (UDP-GLC) AND PHOSPHOGLYCERIC ACID (PGA) - GPGS MN2+ UDP-GLC PGA-1
51, p4ddzA_, 0.5379, 2.78, 0.224, 300, 223, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS
52, p5jqxA_, 0.5378, 2.66, 0.212, 282, 222, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH PHOSPHOGLYCERIC ACID (PGA) - GPGS*PGA
53, p5jt0A_, 0.5367, 2.94, 0.220, 276, 223, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE (UDP) AND GLUCOSYL-3-PHOSPHOGLYCERATE (GPG) - GPGS*GPG*UDP*MN2+
54, p4y9xA_, 0.5367, 2.62, 0.208, 280, 221, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE- GLUCOSE (UDP-GLC) AND PHOSPHOGLYCERIC ACID (PGA) - GPGS MN2+ UDP-GLC PGA-3
55, p4decA_, 0.5367, 2.58, 0.214, 279, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE (UDP) AND PHOSPHOGLYCERIC ACID (PGA)
56, p5jqxC_, 0.5366, 2.58, 0.214, 280, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH PHOSPHOGLYCERIC ACID (PGA) - GPGS*PGA
57, p5jqqA_, 0.5366, 2.60, 0.218, 284, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS - APO FORM
58, p5jucA_, 0.5365, 2.59, 0.209, 279, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE (UDP) AND GLUCOSYL-3-PHOSPHOGLYCERATE (GPG) - GPGS*GPG*UDP*MN2+_2
59, p4y7fA_, 0.5365, 2.59, 0.218, 276, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE- GLUCOSE (UDP-GLC) AND 3-(PHOSPHONOOXY)PROPANOIC ACID (PPA) - GPGS MN2+ UDP-GLC PPA
60, p4y6uA_, 0.5364, 2.58, 0.214, 278, 220, MYCOBACTERIAL PROTEIN
61, p3kiaC_, 0.5363, 2.60, 0.214, 279, 220, CRYSTAL STRUCTURE OF MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM RUBROBACTER XYLANOPHILUS
62, p5jqxB_, 0.5362, 2.59, 0.214, 280, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH PHOSPHOGLYCERIC ACID (PGA) - GPGS*PGA
63, p4de7A_, 0.5362, 2.93, 0.192, 287, 224, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MG2+ AND URIDINE- DIPHOSPHATE (UDP)
64, p5jqxD_, 0.5358, 2.93, 0.192, 287, 224, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH PHOSPHOGLYCERIC ACID (PGA) - GPGS*PGA
65, p5jsxA_, 0.5356, 2.60, 0.209, 279, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ AND URIDINE- DIPHOSPHATE-GLUCOSE (UDP-GLC)
66, p5judA_, 0.5350, 2.62, 0.214, 281, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH URIDINE-DIPHOSPHATE (UDP) - GPGS*UDP
67, p4y7gA_, 0.5341, 2.60, 0.209, 279, 220, CRYSTAL STRUCTURE OF GLUCOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM MYCOBACTERIUM TUBERCULOSIS IN COMPLEX WITH MN2+ URIDINE-DIPHOSPHATE- GLUCOSE (UDP-GLC) AND GLYCEROL 3-PHOSPHATE (G3P) - GPGS MN2+ UDP-GLC G3P
68, p3e26A_, 0.5289, 2.62, 0.214, 282, 220, CRYSTAL STRUCTURE OF M. TUBERCULOSIS GLUCOSYL-3- PHOSPHOGLYCERATE SYNTHASE
69, p3e25A_, 0.5245, 2.57, 0.215, 277, 219, CRYSTAL STRUCTURE OF M. TUBERCULOSIS GLUCOSYL-3- PHOSPHOGLYCERATE SYNTHASE
70, p3o3pB_, 0.5148, 2.59, 0.215, 277, 219, CRYSTAL STRUCTURE OF R. XYLANOPHILUS MPGS IN COMPLEX WITH GDP-MANNOSE
71, p3f1yC_, 0.5144, 2.72, 0.201, 274, 219, MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM RUBROBACTER XYLANOPHILUS
72, p3o3pA_, 0.5143, 2.73, 0.212, 270, 217, CRYSTAL STRUCTURE OF R. XYLANOPHILUS MPGS IN COMPLEX WITH GDP-MANNOSE
73, p3kiaA_, 0.5140, 2.72, 0.173, 273, 214, CRYSTAL STRUCTURE OF MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM RUBROBACTER XYLANOPHILUS
74, p3f1yA_, 0.5125, 2.55, 0.190, 274, 211, MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM RUBROBACTER XYLANOPHILUS
75, d1on8B_, 0.5013, 2.47, 0.190, 274, 210, CRYSTAL STRUCTURE OF MOUSE ALPHA-14-N-ACETYLHEXOSAMINYLTRANSFERASE (EXTL2) WITH UDP AND GLCUAB(1-3)GALB(1-O)-NAPHTHALENELMETHANOL AN ACCEPTOR SUBSTRATE ANALOG
76, d1on8A_, 0.5008, 2.40, 0.191, 269, 209, CRYSTAL STRUCTURE OF MOUSE ALPHA-14-N-ACETYLHEXOSAMINYLTRANSFERASE (EXTL2) WITH UDP AND GLCUAB(1-3)GALB(1-O)-NAPHTHALENELMETHANOL AN ACCEPTOR SUBSTRATE ANALOG
