No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d1yvwB_, 1.0000, 0.00, 1.000, 90, 90, CRYSTAL STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM BACILLUS CEREUS. NESGC TARGET BCR13.
2, d1yvwD_, 0.9999, 0.03, 1.000, 90, 90, CRYSTAL STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM BACILLUS CEREUS. NESGC TARGET BCR13.
3, d1yvwC_, 0.9999, 0.03, 1.000, 90, 90, CRYSTAL STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM BACILLUS CEREUS. NESGC TARGET BCR13.
4, d1yvwA1, 0.9999, 0.02, 1.000, 90, 90, CRYSTAL STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM BACILLUS CEREUS. NESGC TARGET BCR13.
5, d3c90A_, 0.8582, 0.02, 1.000, 90, 90, THE 1.25 A RESOLUTION STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM MYCOBACTERIUM TUBERCULOSIS CRYSTAL FORM II
6, d3c90C_, 0.8551, 1.01, 0.253, 87, 83, THE 1.25 A RESOLUTION STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM MYCOBACTERIUM TUBERCULOSIS CRYSTAL FORM II
7, d3c90B_, 0.8528, 1.01, 0.253, 87, 83, THE 1.25 A RESOLUTION STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM MYCOBACTERIUM TUBERCULOSIS CRYSTAL FORM II
8, d3c90X_, 0.8522, 1.06, 0.253, 87, 83, THE 1.25 A RESOLUTION STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHOHYDROLASE FROM MYCOBACTERIUM TUBERCULOSIS CRYSTAL FORM II
9, d2a7wG_, 0.8453, 1.06, 0.253, 87, 83, CRYSTAL STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHATASE FROM CHROMOBACTERIUM VIOLACEUM (ATCC 12472). NESG TARGET CVR7
10, d2a7wK_, 0.8450, 1.05, 0.253, 87, 83, CRYSTAL STRUCTURE OF PHOSPHORIBOSYL-ATP PYROPHOSPHATASE FROM CHROMOBACTERIUM VIOLACEUM (ATCC 12472). NESG TARGET CVR7
