No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d4hx6A1, 1.0000, 0.00, 1.000, 171, 171, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
2, d4hx6D1, 0.9597, 0.00, 1.000, 171, 171, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
3, d4hx6F1, 0.9577, 1.36, 1.000, 171, 171, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
4, d4hx6G_, 0.9498, 1.20, 1.000, 171, 171, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
5, d4hx6H_, 0.9458, 0.79, 0.994, 166, 166, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
6, d4hx6B_, 0.9399, 0.44, 0.988, 163, 163, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
7, d4r82A_, 0.9265, 0.60, 1.000, 164, 163, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6 IN COMPLEX WITH NAD AND FAD FRAGMENTS
8, d4hx6C1, 0.9224, 0.68, 0.994, 163, 161, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
9, d4hx6E_, 0.9201, 0.86, 0.994, 167, 161, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6
10, d4r82B_, 0.9195, 0.98, 0.994, 168, 161, STREPTOMYCES GLOBISPORUS C-1027 NADH:FAD OXIDOREDUCTASE SGCE6 IN COMPLEX WITH NAD AND FAD FRAGMENTS
11, d5choA_, 0.8635, 0.70, 0.994, 162, 160, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
12, d5choB_, 0.8592, 1.83, 0.475, 165, 160, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
13, d5choD_, 0.8588, 1.83, 0.475, 165, 160, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
14, d5choC_, 0.8582, 1.81, 0.478, 163, 159, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
15, d4l82B1, 0.8513, 1.82, 0.478, 164, 159, STRUCTURE OF A PUTATIVE OXIDOREDUCTASE FROM RICKETTSIA FELIS
16, d4l82D_, 0.8510, 1.83, 0.478, 165, 159, STRUCTURE OF A PUTATIVE OXIDOREDUCTASE FROM RICKETTSIA FELIS
17, d4l82C_, 0.8498, 1.41, 0.351, 160, 154, STRUCTURE OF A PUTATIVE OXIDOREDUCTASE FROM RICKETTSIA FELIS
18, d5choE_, 0.8494, 1.41, 0.351, 160, 154, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
19, d4l82A_, 0.8489, 1.10, 0.355, 156, 152, STRUCTURE OF A PUTATIVE OXIDOREDUCTASE FROM RICKETTSIA FELIS
20, d5choF_, 0.8474, 1.14, 0.355, 156, 152, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
21, d5choG_, 0.8473, 1.82, 0.484, 161, 157, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
22, d3nfwB1, 0.8457, 1.14, 0.355, 156, 152, CRYSTAL STRUCTURE OF NITRILOTRIACETATE MONOOXYGENASE COMPONENT B (A0R521 HOMOLOG) FROM MYCOBACTERIUM THERMORESISTIBILE
23, d3nfwD1, 0.8438, 1.85, 0.484, 160, 157, CRYSTAL STRUCTURE OF NITRILOTRIACETATE MONOOXYGENASE COMPONENT B (A0R521 HOMOLOG) FROM MYCOBACTERIUM THERMORESISTIBILE
24, d5choH_, 0.8423, 1.85, 0.484, 160, 157, CRYSTAL STRUCTURE OF BORF THE FLAVIN REDUCTASE COMPONENT OF A BACTERIAL TWO-COMPONENT TRYPTOPHAN HALOGENASE
25, d3nfwC_, 0.8408, 1.57, 0.342, 181, 155, CRYSTAL STRUCTURE OF NITRILOTRIACETATE MONOOXYGENASE COMPONENT B (A0R521 HOMOLOG) FROM MYCOBACTERIUM THERMORESISTIBILE
26, d3nfwA_, 0.8401, 1.57, 0.342, 181, 155, CRYSTAL STRUCTURE OF NITRILOTRIACETATE MONOOXYGENASE COMPONENT B (A0R521 HOMOLOG) FROM MYCOBACTERIUM THERMORESISTIBILE
27, d1usfB_, 0.8305, 1.58, 0.342, 181, 155, PUTATIVE STYRENE MONOOXYGENASE SMALL COMPONENT WITH BOUND NADP+
28, d1uscB_, 0.8305, 1.84, 0.481, 160, 156, PUTATIVE STYRENE MONOOXYGENASE SMALL COMPONENT
29, d3zohB_, 0.8303, 1.77, 0.348, 181, 155, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND 1-CYCLOHEX-2-ENONE
30, d3zofA_, 0.8300, 1.78, 0.348, 179, 155, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND BENZENE-14-DIOL
31, d3zofB_, 0.8299, 1.95, 0.226, 178, 159, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND BENZENE-14-DIOL
32, d3zoeB_, 0.8297, 1.95, 0.226, 178, 159, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND P-HYDROXYBENZALDEHYDE
33, d3zoeA_, 0.8295, 1.88, 0.234, 178, 158, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND P-HYDROXYBENZALDEHYDE
34, d3zohC_, 0.8292, 1.95, 0.226, 178, 159, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND 1-CYCLOHEX-2-ENONE
35, d3zohA_, 0.8290, 1.96, 0.226, 178, 159, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND 1-CYCLOHEX-2-ENONE
36, d3zohD_, 0.8286, 1.95, 0.226, 175, 159, CRYSTAL STRUCTURE OF FMN-BINDING PROTEIN (YP_005476) FROM THERMUS THERMOPHILUS WITH BOUND 1-CYCLOHEX-2-ENONE
37, d1ejeA_, 0.8283, 1.96, 0.226, 175, 159, CRYSTAL STRUCTURE OF AN FMN-BINDING PROTEIN
38, d1uscA_, 0.8274, 1.89, 0.234, 178, 158, PUTATIVE STYRENE MONOOXYGENASE SMALL COMPONENT
39, d1usfA_, 0.8270, 1.97, 0.226, 178, 159, PUTATIVE STYRENE MONOOXYGENASE SMALL COMPONENT WITH BOUND NADP+
40, d3k87A_, 0.8246, 1.96, 0.226, 178, 159, CRYSTAL STRUCTURE OF NADH:FAD OXIDOREDUCTASE (TFTC) - FAD COMPLEX
41, d3k88A_, 0.8245, 2.11, 0.210, 192, 162, CRYSTAL STRUCTURE OF NADH:FAD OXIDOREDUCTASE (TFTC) - FAD NADH COMPLEX
42, d3k86A_, 0.8239, 2.11, 0.210, 192, 162, CRYSTAL STRUCTURE OF NADH:FAD OXIDOREDUCTASE (TFTC) - APO FORM
43, p3rh7C1, 0.8230, 1.98, 0.226, 178, 159, CRYSTAL STRUCTURE OF A PUTATIVE OXIDOREDUCTASE (SMA0793) FROM SINORHIZOBIUM MELILOTI 1021 AT 3.00 A RESOLUTION
44, p3rh7F1, 0.8229, 1.98, 0.226, 178, 159, CRYSTAL STRUCTURE OF A PUTATIVE OXIDOREDUCTASE (SMA0793) FROM SINORHIZOBIUM MELILOTI 1021 AT 3.00 A RESOLUTION
45, d3pftB_, 0.8227, 1.99, 0.226, 178, 159, CRYSTAL STRUCTURE OF UNTAGGED C54A MUTANT FLAVIN REDUCTASE (DSZD) IN COMPLEX WITH FMN FROM MYCOBACTERIUM GOODII
46, d3bpkB1, 0.8225, 1.94, 0.229, 164, 157, CRYSTAL STRUCTURE OF NITRILOTRIACETATE MONOOXYGENASE COMPONENT B FROM BACILLUS CEREUS
47, d3k88B_, 0.8212, 1.94, 0.229, 164, 157, CRYSTAL STRUCTURE OF NADH:FAD OXIDOREDUCTASE (TFTC) - FAD NADH COMPLEX
48, d3k87B_, 0.8210, 1.95, 0.229, 164, 157, CRYSTAL STRUCTURE OF NADH:FAD OXIDOREDUCTASE (TFTC) - FAD COMPLEX
49, d3k86B_, 0.8199, 1.95, 0.229, 164, 157, CRYSTAL STRUCTURE OF NADH:FAD OXIDOREDUCTASE (TFTC) - APO FORM
50, d3cb0C_, 0.8195, 1.40, 0.403, 164, 149, COBR
51, d3cb0D_, 0.8186, 1.40, 0.403, 164, 149, COBR
52, d3cb0B_, 0.8167, 1.41, 0.403, 164, 149, COBR
53, d3cb0A_, 0.8165, 1.63, 0.333, 157, 153, COBR
54, d3pftA_, 0.8134, 1.63, 0.333, 157, 153, CRYSTAL STRUCTURE OF UNTAGGED C54A MUTANT FLAVIN REDUCTASE (DSZD) IN COMPLEX WITH FMN FROM MYCOBACTERIUM GOODII
55, d3bpkA1, 0.8066, 2.09, 0.167, 197, 162, CRYSTAL STRUCTURE OF NITRILOTRIACETATE MONOOXYGENASE COMPONENT B FROM BACILLUS CEREUS
56, d2d38A1, 0.8016, 2.09, 0.167, 197, 162, THE CRYSTAL STRUCTURE OF FLAVIN REDUCTASE HPAC COMPLEXED WITH NADP+
57, d2d37A1, 0.7994, 2.12, 0.222, 164, 158, THE CRYSTAL STRUCTURE OF FLAVIN REDUCTASE HPAC COMPLEXED WITH NAD+
58, d1rz0F_, 0.7960, 2.13, 0.222, 164, 158, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
59, d1rz0E_, 0.7958, 2.16, 0.222, 164, 158, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
60, d1rz0C_, 0.7955, 2.01, 0.237, 162, 156, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
61, d1rz0A_, 0.7955, 2.02, 0.237, 161, 156, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
62, d1rz1F_, 0.7954, 2.06, 0.237, 163, 156, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
63, d1rz1D_, 0.7954, 2.07, 0.237, 166, 156, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
64, d1rz1B_, 0.7954, 2.07, 0.237, 166, 156, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
65, d1rz1C_, 0.7952, 1.66, 0.336, 156, 152, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
66, d1rz1E_, 0.7951, 2.05, 0.158, 193, 158, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
67, d1rz0G_, 0.7951, 1.63, 0.247, 155, 150, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
68, d1rz1H_, 0.7950, 1.63, 0.247, 155, 150, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
69, d1rz1A_, 0.7949, 1.58, 0.248, 154, 149, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
70, d1rz1G_, 0.7948, 1.71, 0.345, 147, 145, REDUCED FLAVIN REDUCTASE PHEA2 IN COMPLEX WITH NAD
71, d1rz0D_, 0.7947, 1.72, 0.338, 147, 145, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
72, d1rz0H_, 0.7941, 1.73, 0.338, 147, 145, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
73, d1rz0B_, 0.7941, 1.72, 0.345, 147, 145, FLAVIN REDUCTASE PHEA2 IN NATIVE STATE
74, d2d36A1, 0.7919, 1.72, 0.345, 147, 145, THE CRYSTAL STRUCTURE OF FLAVIN REDUCTASE HPAC
75, p4f07F_, 0.7899, 1.73, 0.338, 147, 145, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
76, d4iraA_, 0.7889, 1.73, 0.338, 147, 145, COBR IN COMPLEX WITH FAD
77, p4f07J_, 0.7882, 1.75, 0.345, 147, 145, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
78, p3rh7E2, 0.7870, 1.74, 0.345, 147, 145, CRYSTAL STRUCTURE OF A PUTATIVE OXIDOREDUCTASE (SMA0793) FROM SINORHIZOBIUM MELILOTI 1021 AT 3.00 A RESOLUTION
79, p3rh7A2, 0.7868, 1.74, 0.338, 147, 145, CRYSTAL STRUCTURE OF A PUTATIVE OXIDOREDUCTASE (SMA0793) FROM SINORHIZOBIUM MELILOTI 1021 AT 3.00 A RESOLUTION
80, d2ed4B_, 0.7865, 1.73, 0.338, 147, 145, CRYSTAL STRUCTURE OF FLAVIN REDUCTASE HPAC COMPLEXED WITH FAD AND NAD
81, p2d5mA_, 0.7855, 1.75, 0.345, 147, 145, FLAVOREDOXIN OF DESULFOVIBRIO VULGARIS (MIYAZAKI F)
82, p4f07D_, 0.7854, 1.74, 0.338, 147, 145, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
83, p4f07B_, 0.7852, 1.75, 0.345, 147, 145, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
84, p4f07I_, 0.7838, 1.52, 0.347, 147, 144, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
85, p4f07K_, 0.7833, 1.57, 0.347, 147, 144, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
86, d2ecrA_, 0.7830, 1.58, 0.347, 147, 144, CRYSTAL STRUCTURE OF THE LIGAND-FREE FORM OF THE FLAVIN REDUCTASE COMPONENT (HPAC) OF 4-HYDROXYPHENYLACETATE 3-MONOOXYGENASE
87, d1i0sB_, 0.7828, 1.61, 0.250, 153, 148, ARCHAEOGLOBUS FULGIDUS FERRIC REDUCTASE COMPLEX WITH NADP+
88, d2ecuB_, 0.7823, 1.83, 0.277, 155, 148, CRYSTAL STRUCTURE OF FLAVIN REDUCTASE COMPONENT (HPAC) OF 4- HYDROXYPHENYLACETATE 3-MONOOXYGENASE
89, p4f07G_, 0.7808, 1.83, 0.277, 155, 148, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
90, d2ed4A_, 0.7806, 2.38, 0.229, 162, 157, CRYSTAL STRUCTURE OF FLAVIN REDUCTASE HPAC COMPLEXED WITH FAD AND NAD
91, d1i0sA_, 0.7806, 1.84, 0.277, 155, 148, ARCHAEOGLOBUS FULGIDUS FERRIC REDUCTASE COMPLEX WITH NADP+
92, p4f07A_, 0.7804, 1.33, 0.408, 157, 142, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
93, d2ecuA_, 0.7795, 1.33, 0.408, 157, 142, CRYSTAL STRUCTURE OF FLAVIN REDUCTASE COMPONENT (HPAC) OF 4- HYDROXYPHENYLACETATE 3-MONOOXYGENASE
94, d2ecrB_, 0.7793, 1.67, 0.340, 149, 144, CRYSTAL STRUCTURE OF THE LIGAND-FREE FORM OF THE FLAVIN REDUCTASE COMPONENT (HPAC) OF 4-HYDROXYPHENYLACETATE 3-MONOOXYGENASE
95, p4f07C_, 0.7791, 1.89, 0.178, 173, 152, STRUCTURE OF THE STYRENE MONOOXYGENASE FLAVIN REDUCTASE (SMOB) FROM PSEUDOMONAS PUTIDA S12
96, d1i0rA_, 0.7783, 1.89, 0.178, 173, 152, CRYSTAL STRUCTURE OF FERRIC REDUCTASE FROM ARCHAEOGLOBUS FULGIDUS
