No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1szwA, 1.0000, 0.00, 1.000, 330, 330, CRYSTAL STRUCTURE OF E. COLI TRNA PSEUDOURIDINE SYNTHASE TRUD
2, 1sb7A, 0.9968, 0.39, 1.000, 338, 330, CRYSTAL STRUCTURE OF THE E.COLI PSEUDOURIDINE SYNTHASE TRUD
3, 1sb7B, 0.9656, 1.24, 1.000, 340, 329, CRYSTAL STRUCTURE OF THE E.COLI PSEUDOURIDINE SYNTHASE TRUD
4, 1szwB, 0.9615, 1.13, 1.000, 326, 326, CRYSTAL STRUCTURE OF E. COLI TRNA PSEUDOURIDINE SYNTHASE TRUD
5, 1si7A, 0.9324, 1.86, 0.985, 340, 329, STRUCTURE OF E. COLI TRNA PSI 13 PSEUDOURIDINE SYNTHASE TRUD
6, 5kkpA, 0.8219, 2.83, 0.228, 494, 307, CRYSTAL STRUCTURE OF HUMAN PSEUDOURIDYLATE SYNTHASE 7
7, 1z2zB, 0.8115, 3.51, 0.236, 428, 326, CRYSTAL STRUCTURE OF THE PUTATIVE TRNA PSEUDOURIDINE SYNTHASE D (TRUD) FROM METHANOSARCINA MAZEI NORTHEAST STRUCTURAL GENOMICS TARGET MAR1
8, 1z2zA, 0.8107, 3.48, 0.234, 428, 325, CRYSTAL STRUCTURE OF THE PUTATIVE TRNA PSEUDOURIDINE SYNTHASE D (TRUD) FROM METHANOSARCINA MAZEI NORTHEAST STRUCTURAL GENOMICS TARGET MAR1
9, 1bc9A, 0.2563, 5.60, 0.056, 200, 126, CYTOHESIN-1/B2-1 SEC7 DOMAIN NMR MINIMIZED AVERAGE STRUCTURE
10, 1d02B, 0.2218, 5.89, 0.061, 200, 114, CRYSTAL STRUCTURE OF MUNI RESTRICTION ENDONUCLEASE IN COMPLEX WITH COGNATE DNA
