No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1nayC, 1.0000, 0.00, 1.000, 56, 56, GPP-FOLDON:X-RAY STRUCTURE
2, 5tdgA, 0.5597, 2.91, 0.500, 480, 56, CRYSTAL STRUCTURE OF PREFUSION-STABILIZED BOVINE RSV F (DS-CAV1 VARIANT: STRAIN ATUE51908)
3, 5tokB, 0.5361, 3.04, 0.509, 478, 55, CRYSTAL STRUCTURE OF THE RSV F GLYCOPROTEIN IN COMPLEX WITH THE NEUTRALIZING SINGLE-DOMAIN ANTIBODY F-VHH-L66
4, 5tojB, 0.5139, 1.78, 0.771, 485, 35, CRYSTAL STRUCTURE OF THE RSV F GLYCOPROTEIN IN COMPLEX WITH THE NEUTRALIZING SINGLE-DOMAIN ANTIBODY F-VHH-4
5, 1v1hE, 0.4939, 1.97, 0.879, 103, 33, ADENOVIRUS FIBRE SHAFT SEQUENCE N-TERMINALLY FUSED TO THE BACTERIOPHAGE T4 FIBRITIN FOLDON TRIMERISATION MOTIF WITH A SHORT LINKER
6, 1avyC, 0.4897, 1.61, 0.871, 68, 31, FIBRITIN DELETION MUTANT M (BACTERIOPHAGE T4)
7, 3j2oB, 0.4885, 1.95, 0.812, 362, 32, MODEL OF THE BACTERIOPHAGE T4 FIBRITIN BASED ON THE CRYO-EM RECONSTRUCTION OF THE CONTRACTED T4 TAIL CONTAINING THE PHAGE COLLAR AND WHISKERS
8, 3j2oA, 0.4885, 1.95, 0.812, 362, 32, MODEL OF THE BACTERIOPHAGE T4 FIBRITIN BASED ON THE CRYO-EM RECONSTRUCTION OF THE CONTRACTED T4 TAIL CONTAINING THE PHAGE COLLAR AND WHISKERS
9, 2bsgC, 0.4885, 1.95, 0.812, 363, 32, THE MODELED STRUCTURE OF FIBRITIN (GPWAC) OF BACTERIOPHAGE T4 BASED ON CRYO-EM RECONSTRUCTION OF THE EXTENDED TAIL OF BACTERIOPHAGE T4
10, 2bsgB, 0.4885, 1.95, 0.812, 363, 32, THE MODELED STRUCTURE OF FIBRITIN (GPWAC) OF BACTERIOPHAGE T4 BASED ON CRYO-EM RECONSTRUCTION OF THE EXTENDED TAIL OF BACTERIOPHAGE T4
