No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1i4eA, 1.0000, 0.00, 1.000, 293, 293, CRYSTAL STRUCTURE OF THE CASPASE-8/P35 COMPLEX
2, 2funA, 0.9994, 0.15, 1.000, 293, 293, ALTERNATIVE P35-CASPASE-8 COMPLEX
3, 2funC, 0.9988, 0.21, 1.000, 293, 293, ALTERNATIVE P35-CASPASE-8 COMPLEX
4, 1i3sB, 0.9362, 0.76, 0.968, 281, 278, THE 2.7 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF A MUTATED BACULOVIRUS P35 AFTER CASPASE CLEAVAGE
5, 1i3sC, 0.9352, 0.96, 0.968, 282, 279, THE 2.7 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF A MUTATED BACULOVIRUS P35 AFTER CASPASE CLEAVAGE
6, 1i3sA, 0.9332, 1.06, 0.968, 283, 279, THE 2.7 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF A MUTATED BACULOVIRUS P35 AFTER CASPASE CLEAVAGE
7, 1i3pA, 0.8978, 1.24, 0.955, 274, 269, THE 3.1 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF A MUTATED BACULOVIRUS P35 AFTER CASPASE CLEAVAGE
8, 1p35B, 0.8748, 2.50, 1.000, 298, 279, CRYSTAL STRUCTURE OF BACULOVIRUS P35
9, 1p35A, 0.8718, 2.61, 0.993, 299, 279, CRYSTAL STRUCTURE OF BACULOVIRUS P35
10, 1p35C, 0.8686, 2.51, 1.000, 295, 278, CRYSTAL STRUCTURE OF BACULOVIRUS P35
