No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2g45D_, 1.0000, 0.00, 1.000, 117, 117, CO-CRYSTAL STRUCTURE OF ZNF UBP DOMAIN FROM THE DEUBIQUITINATING ENZYME ISOPEPTIDASE T (ISOT) IN COMPLEX WITH UBIQUITIN
2, d2g45A_, 0.9963, 0.25, 1.000, 117, 117, CO-CRYSTAL STRUCTURE OF ZNF UBP DOMAIN FROM THE DEUBIQUITINATING ENZYME ISOPEPTIDASE T (ISOT) IN COMPLEX WITH UBIQUITIN
3, p6dxhA_, 0.7785, 1.26, 1.000, 117, 96, STRUCTURE OF USP5 ZINC-FINGER UBIQUITIN BINDING DOMAIN CO-CRYSTALLIZED WITH 4-(4-TERT-BUTYLPHENYL)-4-OXOBUTANOATE 
4, d2g43B_, 0.7554, 1.25, 1.000, 113, 92, STRUCTURE OF THE ZNF UBP DOMAIN FROM DEUBIQUITINATING ENZYME ISOPEPTIDASE T (ISOT)
5, d2g43A1, 0.7524, 1.25, 1.000, 117, 92, STRUCTURE OF THE ZNF UBP DOMAIN FROM DEUBIQUITINATING ENZYME ISOPEPTIDASE T (ISOT)
6, p3ihpA2, 0.7318, 1.25, 1.000, 117, 92, COVALENT UBIQUITIN-USP5 COMPLEX
7, p3ihpB2, 0.7231, 1.20, 0.989, 109, 89, COVALENT UBIQUITIN-USP5 COMPLEX
8, d2l80A_, 0.6351, 1.45, 1.000, 111, 90, SOLUTION STRUCTURE OF THE ZINC FINGER DOMAIN OF USP13
9, p5g0fA_, 0.5878, 2.75, 0.739, 114, 92, CRYSTAL STRUCTURE OF DANIO RERIO HDAC6 ZNF-UBP DOMAIN
10, p3phdB_, 0.5876, 2.22, 0.253, 110, 79, CRYSTAL STRUCTURE OF HUMAN HDAC6 IN COMPLEX WITH UBIQUITIN
11, p3phdA_, 0.5874, 2.22, 0.253, 110, 79, CRYSTAL STRUCTURE OF HUMAN HDAC6 IN COMPLEX WITH UBIQUITIN
12, p5wpbA_, 0.5870, 2.20, 0.203, 100, 79, CRYSTAL STRUCTURE OF FRAGMENT 3-(3-(PYRIDIN-2-YLMETHOXY)QUINOXALIN-2- YL)PROPANOIC ACID BOUND IN THE UBIQUITIN BINDING POCKET OF THE HDAC6 ZINC-FINGER DOMAIN
13, p6ceeA_, 0.5866, 2.21, 0.203, 102, 79, CRYSTAL STRUCTURE OF FRAGMENT 3-(1-METHYL-2-OXO-12-DIHYDROQUINOXALIN- 3-YL)PROPIONIC ACID BOUND IN THE UBIQUITIN BINDING POCKET OF THE HDAC6 ZINC-FINGER DOMAIN
14, p6cedA_, 0.5865, 2.20, 0.203, 101, 79, CRYSTAL STRUCTURE OF FRAGMENT 3-(3-METHYL-4-OXO-34-DIHYDROQUINAZOLIN- 2-YL)PROPANOIC ACID BOUND IN THE UBIQUITIN BINDING POCKET OF THE HDAC6 ZINC-FINGER DOMAIN
15, p6ce8A_, 0.5864, 2.21, 0.203, 100, 79, CRYSTAL STRUCTURE OF FRAGMENT 2-(BENZO[D]THIAZOL-2-YL)ACETIC ACID BOUND IN THE UBIQUITIN BINDING POCKET OF THE HDAC6 ZINC-FINGER DOMAIN
