No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d3cirA3, 1.0000, 0.00, 1.000, 96, 96, E. COLI QUINOL FUMARATE REDUCTASE FRDA T234A MUTATION
2, d1kf6A3, 0.8284, 1.74, 0.884, 132, 95, E. COLI QUINOL-FUMARATE REDUCTASE WITH BOUND INHIBITOR HQNO
3, d1kfyA3, 0.8251, 1.74, 0.884, 132, 95, QUINOL-FUMARATE REDUCTASE WITH QUINOL INHIBITOR 2-[1-(4-CHLORO- PHENYL)-ETHYL]-46-DINITRO-PHENOL
4, d1kfyM3, 0.8236, 1.76, 0.884, 132, 95, QUINOL-FUMARATE REDUCTASE WITH QUINOL INHIBITOR 2-[1-(4-CHLORO- PHENYL)-ETHYL]-46-DINITRO-PHENOL
5, d1kf6M3, 0.8215, 1.78, 0.884, 132, 95, E. COLI QUINOL-FUMARATE REDUCTASE WITH BOUND INHIBITOR HQNO
6, d1e7pJ3, 0.8056, 1.79, 0.884, 132, 95, QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
7, d1e7pG3, 0.8056, 1.94, 0.432, 121, 95, QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
8, d1e7pD3, 0.8056, 1.94, 0.432, 121, 95, QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
9, d1e7pA3, 0.8056, 1.94, 0.432, 121, 95, QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
10, d1l0vM3, 0.8009, 1.94, 0.432, 121, 95, QUINOL-FUMARATE REDUCTASE WITH MENAQUINOL MOLECULES
11, d2b76A3, 0.8006, 1.94, 0.432, 121, 95, E. COLI QUINOL FUMARATE REDUCTASE FRDA E49Q MUTATION
12, d1l0vA3, 0.7953, 1.92, 0.884, 132, 95, QUINOL-FUMARATE REDUCTASE WITH MENAQUINOL MOLECULES
13, p2ws3I_, 0.7878, 1.90, 0.884, 132, 95, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHD TYR83PHE MUTANT
14, p2ws3E_, 0.7877, 1.96, 0.884, 132, 95, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHD TYR83PHE MUTANT
15, d1nekA3, 0.7873, 2.05, 0.505, 588, 95, COMPLEX II (SUCCINATE DEHYDROGENASE) FROM E. COLI WITH UBIQUINONE BOUND
16, d1nenA3, 0.7869, 2.05, 0.505, 588, 95, COMPLEX II (SUCCINATE DEHYDROGENASE) FROM E. COLI WITH DINITROPHENOL-17 INHIBITOR CO-CRYSTALLIZED AT THE UBIQUINONE BINDING SITE
17, d2b76M3, 0.7867, 1.97, 0.521, 120, 94, E. COLI QUINOL FUMARATE REDUCTASE FRDA E49Q MUTATION
18, p2wdvI_, 0.7862, 1.98, 0.521, 120, 94, E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH AN EMPTY QUINONE-BINDING POCKET
19, p2wdrI_, 0.7860, 1.98, 0.895, 132, 95, E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH PENTACHLOROPHENOL BOUND
20, p2wdvE_, 0.7856, 1.97, 0.500, 588, 94, E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH AN EMPTY QUINONE-BINDING POCKET
21, p4ytnA_, 0.7839, 1.97, 0.500, 588, 94, CRYSTAL STRUCTURE OF MITOCHONDRIAL RHODOQUINOL-FUMARATE REDUCTASE FROM ASCARIS SUUM WITH N-[3-(PENTAFLUOROPHENOXY)PHENYL]-2- (TRIFLUOROMETHYL)BENZAMIDE
22, d2wp9E2, 0.7816, 1.97, 0.500, 588, 94, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHB HIS207THR MUTANT
23, d2wdqI2, 0.7815, 2.12, 0.526, 616, 95, E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH CARBOXIN BOUND
24, d2wu5I2, 0.7813, 2.12, 0.526, 616, 95, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHD HIS71MET MUTANT
25, d2wu5E2, 0.7813, 1.95, 0.505, 120, 93, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHD HIS71MET MUTANT
26, d2wu5A2, 0.7813, 1.94, 0.505, 120, 93, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHD HIS71MET MUTANT
27, d2wdqA2, 0.7811, 1.95, 0.505, 120, 93, E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH CARBOXIN BOUND
28, d2wu2I2, 0.7810, 1.95, 0.505, 120, 93, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHC HIS84MET MUTANT
29, d2wdqE2, 0.7809, 1.95, 0.505, 120, 93, E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH CARBOXIN BOUND
30, d2wp9I2, 0.7808, 1.95, 0.505, 120, 93, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHB HIS207THR MUTANT
31, d2wp9A2, 0.7807, 2.04, 0.511, 120, 94, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHB HIS207THR MUTANT
32, d2wu2A2, 0.7806, 1.95, 0.505, 120, 93, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHC HIS84MET MUTANT
33, d2wu2E2, 0.7805, 1.95, 0.505, 120, 93, CRYSTAL STRUCTURE OF THE E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) SDHC HIS84MET MUTANT
34, d2bs4D3, 0.7577, 1.95, 0.505, 120, 93, GLU C180 -> ILE VARIANT QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
35, d2bs4A3, 0.7577, 2.04, 0.511, 120, 94, GLU C180 -> ILE VARIANT QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
36, d2bs2A3, 0.7564, 2.04, 0.511, 120, 94, QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
37, d2bs2D3, 0.7562, 2.08, 0.402, 121, 92, QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
38, d2bs3A3, 0.7508, 2.08, 0.402, 121, 92, GLU C180 -> GLN VARIANT QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
39, d2bs3D3, 0.7506, 2.10, 0.402, 121, 92, GLU C180 -> GLN VARIANT QUINOL:FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
40, p3p4rM2, 0.7276, 2.11, 0.402, 121, 92, CRYSTAL STRUCTURE OF MENAQUINOL:FUMARATE OXIDOREDUCTASE IN COMPLEX WITH GLUTARATE
41, p4kx6M2, 0.7211, 2.14, 0.402, 121, 92, PLASTICITY OF THE QUINONE-BINDING SITE OF THE COMPLEX II HOMOLOG QUINOL:FUMARATE REDUCTASE
42, p3p4qA2, 0.7201, 2.14, 0.402, 121, 92, CRYSTAL STRUCTURE OF MENAQUINOL:OXIDOREDUCTASE IN COMPLEX WITH OXALOACETATE
43, p6b58C2, 0.7195, 1.79, 0.881, 121, 84, FRDA-SDHE ASSEMBLY INTERMEDIATE
44, p3p4pM2, 0.7176, 1.83, 0.869, 121, 84, CRYSTAL STRUCTURE OF MENAQUINOL:FUMARATE OXIDOREDUCTASE IN COMPLEX WITH FUMARATE
45, p6awfA2, 0.7159, 1.82, 0.869, 121, 84, ESCHERICHIA COLI QUINOL:FUMARATE REDUCTASE CRYSTALLIZED WITHOUT DICARBOXYLATE
46, p3p4qM2, 0.7154, 2.05, 0.864, 125, 88, CRYSTAL STRUCTURE OF MENAQUINOL:OXIDOREDUCTASE IN COMPLEX WITH OXALOACETATE
47, p4kx6A2, 0.7100, 1.85, 0.869, 121, 84, PLASTICITY OF THE QUINONE-BINDING SITE OF THE COMPLEX II HOMOLOG QUINOL:FUMARATE REDUCTASE
48, p3p4rA2, 0.7066, 1.79, 0.880, 117, 83, CRYSTAL STRUCTURE OF MENAQUINOL:FUMARATE OXIDOREDUCTASE IN COMPLEX WITH GLUTARATE
49, d1qlbA3, 0.7054, 1.87, 0.881, 121, 84, RESPIRATORY COMPLEX II-LIKE FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
50, d1qlbD3, 0.7053, 1.78, 0.866, 119, 82, RESPIRATORY COMPLEX II-LIKE FUMARATE REDUCTASE FROM WOLINELLA SUCCINOGENES
51, d1knpA3, 0.7052, 1.80, 0.866, 119, 82, E. COLI L-ASPARTATE OXIDASE: MUTANT R386L IN COMPLEX WITH SUCCINATE
52, p2aczA2, 0.7038, 2.50, 0.364, 121, 88, COMPLEX II (SUCCINATE DEHYDROGENASE) FROM E. COLI WITH ATPENIN A5 INHIBITOR CO-CRYSTALLIZED AT THE UBIQUINONE BINDING SITE
53, d1knrA3, 0.7029, 2.50, 0.364, 121, 88, L-ASPARTATE OXIDASE: R386L MUTANT
54, p6c12A2, 0.7026, 2.38, 0.374, 116, 91, SDHA-SDHE COMPLEX
55, p3p4sA2, 0.7024, 1.94, 0.500, 110, 84, CRYSTAL STRUCTURE OF MENAQUINOL:FUMARATE OXIDOREDUCTASE IN COMPLEX WITH A 3-NITROPROPIONATE ADDUCT
56, p3ae3A2, 0.6981, 2.39, 0.374, 116, 91, CRYSTAL STRUCTURE OF PORCINE HEART MITOCHONDRIAL COMPLEX II BOUND WITH 2-NITRO-N-PHENYL-BENZAMIDE
57, p3p4pA2, 0.6978, 1.89, 0.494, 110, 83, CRYSTAL STRUCTURE OF MENAQUINOL:FUMARATE OXIDOREDUCTASE IN COMPLEX WITH FUMARATE
58, p2h89A2, 0.6973, 1.81, 0.866, 119, 82, AVIAN RESPIRATORY COMPLEX II WITH MALONATE BOUND
