No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4epbC, 1.0000, 0.00, 1.000, 565, 181, FINAL UREASE STRUCTURE FOR RADIATION DAMAGE EXPERIMENT AT 100 K
2, 4ep8C, 0.9996, 0.09, 1.000, 565, 181, INITIAL UREASE STRUCTURE FOR RADIATION DAMAGE EXPERIMENT AT 100 K
3, 4epeC, 0.9989, 0.16, 1.000, 565, 181, FINAL UREASE STRUCTURE FOR RADIATION DAMAGE EXPERIMENT AT 300 K
4, 4epdC, 0.9988, 0.17, 1.000, 565, 181, INITIAL UREASE STRUCTURE FOR RADIATION DAMAGE EXPERIMENT AT 300 K
5, 1ejuC, 0.9988, 0.17, 1.000, 552, 181, CRYSTAL STRUCTURE OF THE H320N VARIANT OF KLEBSIELLA AEROGENES UREASE
6, 1ejrC, 0.9988, 0.17, 1.000, 552, 181, CRYSTAL STRUCTURE OF THE D221A VARIANT OF KLEBSIELLA AEROGENES UREASE
7, 1ejxC, 0.9987, 0.18, 1.000, 555, 181, CRYSTAL STRUCTURE OF WILD-TYPE KLEBSIELLA AEROGENES UREASE AT 100K
8, 1ejwC, 0.9987, 0.18, 1.000, 565, 181, CRYSTAL STRUCTURE OF WILD-TYPE KLEBSIELLA AEROGENES UREASE AT 298K
9, 1ejsC, 0.9987, 0.17, 1.000, 565, 181, CRYSTAL STRUCTURE OF THE H219N VARIANT OF KLEBSIELLA AEROGENES UREASE
10, 1fwfC, 0.9986, 0.18, 1.000, 550, 181, KLEBSIELLA AEROGENES UREASE C319D VARIANT
11, 1ejtC, 0.9986, 0.19, 1.000, 565, 181, CRYSTAL STRUCTURE OF THE H219Q VARIANT OF KLEBSIELLA AEROGENES UREASE
12, 1ejvC, 0.9985, 0.19, 1.000, 552, 181, CRYSTAL STRUCTURE OF THE H320Q VARIANT OF KLEBSIELLA AEROGENES UREASE
13, 1fwiC, 0.9984, 0.20, 1.000, 550, 181, KLEBSIELLA AEROGENES UREASE H134A VARIANT
14, 1fwhC, 0.9984, 0.20, 1.000, 565, 181, KLEBSIELLA AEROGENES UREASE C319Y VARIANT
