No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3m10A, 0.9990, 0.11, 1.000, 347, 94, SUBSTRATE-FREE FORM OF ARGININE KINASE
2, 3m10B, 0.9968, 0.20, 1.000, 346, 94, SUBSTRATE-FREE FORM OF ARGININE KINASE
3, 1m15A, 0.9895, 0.37, 1.000, 356, 94, TRANSITION STATE STRUCTURE OF ARGININE KINASE
4, 1bg0A, 0.9890, 0.37, 1.000, 356, 94, TRANSITION STATE STRUCTURE OF ARGININE KINASE
5, 4gvyA, 0.9883, 0.39, 1.000, 356, 94, CRYSTAL STRUCTURE OF ARGININE KINASE IN COMPLEX WITH L-CITRULLINE AND MGADP
6, 1p52A, 0.9880, 0.39, 1.000, 356, 94, STRUCTURE OF ARGININE KINASE E314D MUTANT
7, 1rl9A, 0.9879, 0.39, 1.000, 356, 94, CRYSTAL STRUCTURE OF CREATINE-ADP ARGININE KINASE TERNARY COMPLEX
8, 4gw0A, 0.9873, 0.40, 1.000, 356, 94, CRYSTAL STRUCTURE OF ARGININE KINASE IN COMPLEX WITH IMINO-L- ORNITHINE MGADP AND NITRATE.
9, 1p50A, 0.9871, 0.41, 1.000, 356, 94, TRANSITION STATE STRUCTURE OF AN ARGININE KINASE MUTANT
10, 1sd0A, 0.9863, 0.42, 1.000, 356, 94, STRUCTURE OF ARGININE KINASE C271A MUTANT
11, 4gvzA, 0.9860, 0.42, 1.000, 356, 94, CRYSTAL STRUCTURE OF ARGININE KINASE IN COMPLEX WITH D-ARGININE MGADP AND NITRATE.
12, 4gw2A, 0.9855, 0.43, 1.000, 356, 94, CRYSTAL STRUCTURE OF ARGININE KINASE IN COMPLEX WITH L-ORNITHINE MGADP AND NITRATE.
13, 5j9aA, 0.9851, 0.44, 1.000, 356, 94, AMBIENT TEMPERATURE TRANSITION STATE STRUCTURE OF ARGININE KINASE - CRYSTAL 11/FORM II
14, 4bg4A, 0.9835, 0.46, 0.766, 355, 94, CRYSTAL STRUCTURE OF LITOPENAEUS VANNAMEI ARGININE KINASE IN TERNARY COMPLEX WITH ARGININE ADP-MG AND NO3
15, 4bg4B, 0.9811, 0.50, 0.766, 355, 94, CRYSTAL STRUCTURE OF LITOPENAEUS VANNAMEI ARGININE KINASE IN TERNARY COMPLEX WITH ARGININE ADP-MG AND NO3
16, 5j99A, 0.9807, 0.50, 1.000, 356, 94, AMBIENT TEMPERATURE TRANSITION STATE STRUCTURE OF ARGININE KINASE - CRYSTAL 8/FORM I
17, 5u92A, 0.9779, 0.39, 0.763, 346, 93, CRYSTAL STRUCTURE OF ARGININE KINASE FROM THE SPIDER POLYBETES PYTHAGORICUS IN COMPLEX WITH ARGININE
18, 5u8eA, 0.9764, 0.41, 0.763, 346, 93, CRYSTAL STRUCTURE OF SUBSTRATE-FREE ARGININE KINASE FROM SPIDER POLYBETES PYTHAGORICUS
19, 4am1A, 0.9725, 0.78, 0.745, 345, 94, CRYSTAL STRUCTURE OF THE MARINE CRUSTACEAN DECAPOD SHRIMP (LITOPENAEUS VANNAMEI) ARGININE KINASE IN THE ABSENCE OF SUBSTRATE OR LIGANDS.
20, 4bhlA, 0.9689, 0.72, 0.755, 348, 94, CRYSTAL STRUCTURE OF LITOPENAEUS VANNAMEI ARGININE KINASE IN BINARY COMPLEX WITH ARGININE
21, 2j1qA, 0.9578, 0.79, 0.691, 339, 94, CRYSTAL STRUCTURE OF TRYPANOSOMA CRUZI ARGININE KINASE
22, 4rf6A, 0.8593, 1.78, 0.462, 696, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS
23, 4rf9A, 0.8576, 1.78, 0.484, 690, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS IN COMPLEX WITH L-ARGININE AND ATPGS
24, 4rf7A, 0.8569, 1.78, 0.484, 692, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS IN COMPLEX WITH SUBSTRATE L-ARGININE
25, 4rf8A, 0.8552, 1.78, 0.484, 686, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS IN COMPLEX WITH ADP
26, 4rf8B, 0.8546, 1.82, 0.462, 693, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS IN COMPLEX WITH ADP
27, 4rf6B, 0.8538, 1.81, 0.462, 698, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS
28, 4rf9B, 0.8530, 1.84, 0.462, 686, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS IN COMPLEX WITH L-ARGININE AND ATPGS
29, 4rf7B, 0.8525, 1.82, 0.462, 700, 91, CRYSTAL STRUCTURE OF DOUBLE-DOMAIN ARGININE KINASE FROM ANTHOPLEURA JAPONICAS IN COMPLEX WITH SUBSTRATE L-ARGININE
30, 4woeA, 0.8343, 1.67, 0.281, 716, 89, THE DUPLICATED TAUROCYAMINE KINASE FROM SCHISTOSOMA MANSONI WITH BOUND TRANSITION STATE ANALOG (TSA) COMPONENTS
31, 4wo8A, 0.8333, 1.69, 0.281, 706, 89, THE SUBSTRATE-FREE DUPLICATED TAUROCYAMINE KINASE FROM SCHISTOSOMA MANSONI
32, 4wodA, 0.8306, 1.70, 0.281, 706, 89, THE DUPLICATED TAUROCYAMINE KINASE FROM SCHISTOSOMA MANSONI COMPLEXED WITH ARGININE
33, 4woeB, 0.8298, 1.71, 0.292, 698, 89, THE DUPLICATED TAUROCYAMINE KINASE FROM SCHISTOSOMA MANSONI WITH BOUND TRANSITION STATE ANALOG (TSA) COMPONENTS
