No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d1feuA_, 1.0000, 0.00, 1.000, 185, 185, CRYSTAL STRUCTURE OF RIBOSOMAL PROTEIN TL5 ONE OF THE CTC FAMILY PROTEINS COMPLEXED WITH A FRAGMENT OF 5S RRNA.
2, d1feuD_, 0.9414, 1.34, 1.000, 189, 182, CRYSTAL STRUCTURE OF RIBOSOMAL PROTEIN TL5 ONE OF THE CTC FAMILY PROTEINS COMPLEXED WITH A FRAGMENT OF 5S RRNA.
3, d3d5dZ1, 0.8576, 1.34, 1.000, 189, 182,  
4, d3d5bZ1, 0.8576, 1.90, 0.977, 177, 177,  
5, d2j01Z1, 0.8444, 1.90, 0.977, 177, 177,  
6, d2j03Z1, 0.8428, 2.00, 0.931, 176, 175,  
7, d2v49Z1, 0.8365, 2.01, 0.949, 176, 175,  
8, d2v47Z1, 0.8291, 2.13, 0.931, 176, 175,  
9, d1vsaT1, 0.8246, 2.18, 0.949, 176, 175,  
10, d1vspT1, 0.8189, 2.20, 0.994, 177, 177,  
11, d3cf5S1, 0.8161, 2.30, 0.994, 177, 177, THIOPEPTIDE ANTIBIOTIC THIOSTREPTON BOUND TO THE LARGE RIBOSOMAL SUBUNIT OF DEINOCOCCUS RADIODURANS
12, d2zjrS1, 0.8155, 2.04, 0.341, 175, 173, REFINED NATIVE STRUCTURE OF THE LARGE RIBOSOMAL SUBUNIT (50S) FROM DEINOCOCCUS RADIODURANS
13, d2zjqS1, 0.8132, 2.05, 0.341, 175, 173, INTERACTION OF L7 WITH L11 INDUCED BY MICROCCOCIN BINDING TO THE DEINOCOCCUS RADIODURANS 50S SUBUNIT
14, d2zjpS1, 0.8116, 2.07, 0.341, 175, 173, THIOPEPTIDE ANTIBIOTIC NOSIHEPTIDE BOUND TO THE LARGE RIBOSOMAL SUBUNIT OF DEINOCOCCUS RADIODURANS
15, d3dllS1, 0.8090, 2.09, 0.341, 175, 173, THE OXAZOLIDINONE ANTIBIOTICS PERTURB THE RIBOSOMAL PEPTIDYL- TRANSFERASE CENTER AND EFFECT TRNA POSITIONING
16, d2hguY1, 0.7934, 2.11, 0.341, 175, 173,  
17, d1xbpT1, 0.7932, 2.40, 0.733, 177, 172, INHIBITION OF PEPTIDE BOND FORMATION BY PLEUROMUTILINS: THE STRUCTURE OF THE 50S RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS IN COMPLEX WITH TIAMULIN
18, d2hgqY1, 0.7914, 2.31, 0.353, 175, 173,  
19, d2hgjY1, 0.7900, 2.36, 0.791, 177, 172,  
20, d1yl3V1, 0.7868, 2.50, 0.792, 177, 173,  
21, d1nkwT_, 0.7851, 2.42, 0.353, 175, 173, CRYSTAL STRUCTURE OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS
22, d1nwyT_, 0.7839, 2.77, 0.348, 223, 178, COMPLEX OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS WITH AZITHROMYCIN
23, d1nwxT_, 0.7839, 2.78, 0.348, 223, 178, COMPLEX OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS WITH ABT-773
24, d1sm1T_, 0.7835, 2.78, 0.348, 223, 178, COMPLEX OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS WITH QUINUPRISTIN AND DALFOPRISTIN
25, d2b9nZ1, 0.7818, 2.80, 0.348, 223, 178,  
26, d1pnyT_, 0.7809, 2.46, 0.347, 175, 173,  
27, d1pnuT_, 0.7809, 2.33, 0.351, 173, 171,  
28, d1njmT_, 0.7786, 2.33, 0.351, 173, 171, THE CRYSTAL STRUCTURE OF THE 50S LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS COMPLEXED WITH A TRNA ACCEPTOR STEM MIMIC (ASM) AND THE ANTIBIOTIC SPARSOMYCIN
29, d1njpT_, 0.7783, 2.84, 0.348, 223, 178, THE CRYSTAL STRUCTURE OF THE 50S LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS COMPLEXED WITH A TRNA ACCEPTOR STEM MIMIC (ASM)
30, d2b66Z1, 0.7758, 2.84, 0.348, 223, 178,  
31, d2b9pZ1, 0.7748, 2.84, 0.348, 223, 178,  
32, d1vouW_, 0.6304, 2.56, 0.347, 175, 173,  
33, d1vp0W_, 0.6254, 2.57, 0.347, 175, 173,  
34, d1vowW_, 0.6236, 3.98, 0.278, 173, 169,  
35, d1voyW_, 0.6164, 3.93, 0.311, 173, 167,  
36, d1vorW_, 0.6096, 3.96, 0.305, 173, 167,  
37, p5j8bW_, 0.5007, 4.08, 0.269, 173, 167, 
