No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4db5A, 1.0000, 0.00, 1.000, 120, 120, CRYSTAL STRUCTURE OF RABBIT GITRL
2, 3b93A, 0.9426, 1.24, 0.708, 123, 120, CRYSTAL STRUCTURE OF HUMAN GITRL
3, 4e4sE, 0.9196, 1.25, 0.784, 119, 116, CRYSTAL STRUCTURE OF PIKA GITRL
4, 4e4sC, 0.9129, 0.74, 0.805, 114, 113, CRYSTAL STRUCTURE OF PIKA GITRL
5, 4e4sB, 0.9090, 1.23, 0.765, 115, 115, CRYSTAL STRUCTURE OF PIKA GITRL
6, 4e4sF, 0.9062, 0.83, 0.814, 114, 113, CRYSTAL STRUCTURE OF PIKA GITRL
7, 2r30A, 0.9040, 1.39, 0.704, 116, 115, CRYSTAL STRUCTURE OF HUMAN GITRL MUTANT
8, 2q1mA, 0.9035, 1.39, 0.704, 116, 115, CRYSTAL STRUCTURE OF HUMAN GITRL
9, 4e4sA, 0.9027, 0.77, 0.804, 113, 112, CRYSTAL STRUCTURE OF PIKA GITRL
10, 4e4sD, 0.8931, 0.79, 0.811, 112, 111, CRYSTAL STRUCTURE OF PIKA GITRL
11, 2r32A, 0.8866, 0.90, 0.755, 140, 110, CRYSTAL STRUCTURE OF HUMAN GITRL VARIANT
12, 3b94D, 0.8778, 1.08, 0.727, 112, 110, CRYSTAL STRUCTURE OF HUMAN GITRL
13, 3b94B, 0.8747, 1.38, 0.705, 113, 112, CRYSTAL STRUCTURE OF HUMAN GITRL
14, 3b9iB, 0.8656, 1.59, 0.530, 123, 115, CRYSTAL STRUCTURE OF MOUSE GITRL AT 2.5 A.
15, 2qdnB, 0.8637, 1.61, 0.530, 123, 115, CRYSTAL STRUCTURE OF MOUSE GITRL
16, 2q8oB, 0.8622, 1.62, 0.539, 125, 115, CRYSTAL STRUCTURE OF MOUSE GITR LIGAND DIMER
17, 3b9iA, 0.8494, 1.81, 0.530, 123, 115, CRYSTAL STRUCTURE OF MOUSE GITRL AT 2.5 A.
18, 2qdnA, 0.8470, 1.82, 0.530, 123, 115, CRYSTAL STRUCTURE OF MOUSE GITRL
19, 3fc0A, 0.8461, 1.85, 0.530, 123, 115, 1.8 A CRYSTAL STRUCTURE OF MURINE GITR LIGAND DIMER EXPRESSED IN DROSOPHILA MELANOGASTER S2 CELLS
20, 2q8oA, 0.8452, 1.86, 0.539, 125, 115, CRYSTAL STRUCTURE OF MOUSE GITR LIGAND DIMER
21, 3fc0B, 0.8330, 1.71, 0.536, 119, 112, 1.8 A CRYSTAL STRUCTURE OF MURINE GITR LIGAND DIMER EXPRESSED IN DROSOPHILA MELANOGASTER S2 CELLS
22, 4g4fA, 0.8224, 1.87, 0.618, 114, 110, CRYSTAL STRUCTURE OF GITRL FROM BUSHBABY
23, 3b93B, 0.7983, 0.88, 0.737, 100, 99, CRYSTAL STRUCTURE OF HUMAN GITRL
24, 1rj7B, 0.7896, 2.39, 0.157, 144, 115, CRYSTAL STRUCTURE OF EDA-A1
25, 3b94A, 0.7888, 1.20, 0.740, 102, 100, CRYSTAL STRUCTURE OF HUMAN GITRL
26, 1rj7K, 0.7880, 2.56, 0.164, 145, 116, CRYSTAL STRUCTURE OF EDA-A1
27, 1rj7D, 0.7873, 2.42, 0.157, 144, 115, CRYSTAL STRUCTURE OF EDA-A1
28, 1rj7F, 0.7865, 2.43, 0.157, 144, 115, CRYSTAL STRUCTURE OF EDA-A1
29, 1rj7G, 0.7863, 2.48, 0.157, 144, 115, CRYSTAL STRUCTURE OF EDA-A1
30, 1rj7A, 0.7858, 2.45, 0.157, 144, 115, CRYSTAL STRUCTURE OF EDA-A1
31, 1rj7M, 0.7848, 2.45, 0.157, 144, 115, CRYSTAL STRUCTURE OF EDA-A1
32, 1rj7L, 0.7842, 2.41, 0.157, 145, 115, CRYSTAL STRUCTURE OF EDA-A1
33, 1rj7E, 0.7833, 2.44, 0.157, 149, 115, CRYSTAL STRUCTURE OF EDA-A1
34, 1rj7J, 0.7828, 2.43, 0.157, 143, 115, CRYSTAL STRUCTURE OF EDA-A1
35, 1rj8G, 0.7784, 2.34, 0.161, 140, 112, THE CRYSTAL STRUCTURE OF TNF FAMILY MEMBER EDA-A2
36, 1rj7I, 0.7781, 2.44, 0.158, 143, 114, CRYSTAL STRUCTURE OF EDA-A1
37, 1rj8B, 0.7780, 2.27, 0.161, 140, 112, THE CRYSTAL STRUCTURE OF TNF FAMILY MEMBER EDA-A2
38, 1rj8F, 0.7771, 2.30, 0.161, 140, 112, THE CRYSTAL STRUCTURE OF TNF FAMILY MEMBER EDA-A2
39, 1rj8E, 0.7770, 2.30, 0.161, 140, 112, THE CRYSTAL STRUCTURE OF TNF FAMILY MEMBER EDA-A2
40, 1rj8D, 0.7760, 2.32, 0.161, 140, 112, THE CRYSTAL STRUCTURE OF TNF FAMILY MEMBER EDA-A2
41, 1rj8A, 0.7757, 2.38, 0.152, 140, 112, THE CRYSTAL STRUCTURE OF TNF FAMILY MEMBER EDA-A2
42, 1rj7H, 0.7745, 2.42, 0.159, 142, 113, CRYSTAL STRUCTURE OF EDA-A1
43, 4giqA, 0.7679, 2.33, 0.152, 155, 112, CRYSTAL STRUCTURE OF MOUSE RANK BOUND TO RANKL
44, 3me2A, 0.7673, 2.34, 0.152, 156, 112, CRYSTAL STRUCTURE OF MOUSE RANKL-RANK COMPLEX
45, 1wckA, 0.7669, 2.07, 0.083, 136, 109, CRYSTAL STRUCTURE OF THE C-TERMINAL DOMAIN OF BCLA THE MAJOR ANTIGEN OF THE EXOSPORIUM OF THE BACILLUS ANTHRACIS SPORE.
46, 1jtzX, 0.7666, 2.31, 0.152, 155, 112, CRYSTAL STRUCTURE OF TRANCE/RANKL CYTOKINE.
47, 1i9rB, 0.7666, 2.31, 0.243, 143, 111, STRUCTURE OF CD40L IN COMPLEX WITH THE FAB FRAGMENT OF HUMANIZED 5C8 ANTIBODY
48, 2z5wA, 0.7665, 2.06, 0.083, 136, 109, TBCLA A RECOMBINANT SPORE SURFACE PROTEIN FROM BACILLUS ANTHRACIS
49, 1i9rA, 0.7663, 2.32, 0.243, 143, 111, STRUCTURE OF CD40L IN COMPLEX WITH THE FAB FRAGMENT OF HUMANIZED 5C8 ANTIBODY
50, 1i9rC, 0.7661, 2.31, 0.243, 143, 111, STRUCTURE OF CD40L IN COMPLEX WITH THE FAB FRAGMENT OF HUMANIZED 5C8 ANTIBODY
51, 1s55A, 0.7655, 2.32, 0.152, 156, 112, MOUSE RANKL STRUCTURE AT 1.9A RESOLUTION
52, 1s55C, 0.7651, 2.36, 0.152, 156, 112, MOUSE RANKL STRUCTURE AT 1.9A RESOLUTION
53, 1jtzZ, 0.7650, 2.34, 0.152, 155, 112, CRYSTAL STRUCTURE OF TRANCE/RANKL CYTOKINE.
54, 3ab0A, 0.7644, 2.10, 0.083, 136, 109, CRYSTAL STRUCTURE OF COMPLEX OF THE BACILLUS ANTHRACIS MAJOR SPORE SURFACE PROTEIN BCLA WITH SCFV ANTIBODY FRAGMENT
55, 5kc6B, 0.7635, 2.41, 0.097, 144, 113, CRYSTAL STRUCTURE OF CBLN1 (VAL55-GLY58 DELETION MUTANT)
56, 3twiC, 0.7634, 2.08, 0.083, 136, 109, VARIABLE LYMPHOCYTE RECEPTOR RECOGNITION OF THE IMMUNODOMINANT GLYCOPROTEIN OF BACILLUS ANTHRACIS SPORES
57, 1jtzY, 0.7634, 2.34, 0.152, 155, 112, CRYSTAL STRUCTURE OF TRANCE/RANKL CYTOKINE.
58, 3ab0D, 0.7623, 2.11, 0.083, 136, 109, CRYSTAL STRUCTURE OF COMPLEX OF THE BACILLUS ANTHRACIS MAJOR SPORE SURFACE PROTEIN BCLA WITH SCFV ANTIBODY FRAGMENT
59, 3twiA, 0.7618, 2.10, 0.083, 136, 109, VARIABLE LYMPHOCYTE RECEPTOR RECOGNITION OF THE IMMUNODOMINANT GLYCOPROTEIN OF BACILLUS ANTHRACIS SPORES
60, 3twiB, 0.7608, 2.12, 0.083, 136, 109, VARIABLE LYMPHOCYTE RECEPTOR RECOGNITION OF THE IMMUNODOMINANT GLYCOPROTEIN OF BACILLUS ANTHRACIS SPORES
61, 3b94C, 0.7606, 2.00, 0.717, 100, 99, CRYSTAL STRUCTURE OF HUMAN GITRL
62, 1s55B, 0.7605, 2.47, 0.152, 156, 112, MOUSE RANKL STRUCTURE AT 1.9A RESOLUTION
63, 5yoyA, 0.7600, 2.42, 0.216, 154, 111, CRYSTAL STRUCTURE OF THE HUMAN TUMOR NECROSIS FACTOR IN COMPLEX WITH GOLIMUMAB FV 
64, 3qbqC, 0.7597, 2.44, 0.153, 155, 111, CRYSTAL STRUCTURE OF EXTRACELLULAR DOMAINS OF MOUSE RANK-RANKL COMPLEX
65, 5bnqA, 0.7593, 2.43, 0.143, 156, 112, CRYSTAL STRUCTURE OF HRANKL-MRANK COMPLEX
66, 3tyjA, 0.7589, 2.08, 0.083, 136, 108, BACILLUS COLLAGEN-LIKE PROTEIN OF ANTHRACIS P159S MUTANT
67, 5yoyC, 0.7586, 2.38, 0.216, 154, 111, CRYSTAL STRUCTURE OF THE HUMAN TUMOR NECROSIS FACTOR IN COMPLEX WITH GOLIMUMAB FV 
68, 2r6qA, 0.7583, 2.08, 0.083, 138, 108, CRYSTAL STRUCTURE OF BCLA-ISLAND CONSTRUCT
69, 5yoyB, 0.7582, 2.39, 0.216, 154, 111, CRYSTAL STRUCTURE OF THE HUMAN TUMOR NECROSIS FACTOR IN COMPLEX WITH GOLIMUMAB FV 
70, 5kwrA, 0.7574, 2.30, 0.099, 139, 111, CRYSTAL STRUCTURE OF RAT CEREBELLIN-1
71, 3qbqA, 0.7573, 2.44, 0.153, 155, 111, CRYSTAL STRUCTURE OF EXTRACELLULAR DOMAINS OF MOUSE RANK-RANKL COMPLEX
72, 1osgC, 0.7557, 2.23, 0.176, 144, 108, COMPLEX BETWEEN BAFF AND A BR3 DERIVED PEPTIDE PRESENTED IN A BETA-HAIRPIN SCAFFOLD
73, 5kc6A, 0.7554, 2.41, 0.098, 137, 112, CRYSTAL STRUCTURE OF CBLN1 (VAL55-GLY58 DELETION MUTANT)
74, 1osgE, 0.7554, 2.24, 0.167, 144, 108, COMPLEX BETWEEN BAFF AND A BR3 DERIVED PEPTIDE PRESENTED IN A BETA-HAIRPIN SCAFFOLD
75, 1kxgE, 0.7553, 2.30, 0.167, 144, 108, THE 2.0 ANG RESOLUTION STRUCTURE OF BLYS B LYMPHOCYTE STIMULATOR.
76, 4qqoA, 0.7549, 2.33, 0.091, 130, 110, CRYSTAL STRUCTURE OF C1QL3 MUTANT D205A
77, 3v56C, 0.7549, 2.25, 0.176, 144, 108, RE-REFINEMENT OF PDB ENTRY 1OSG - COMPLEX BETWEEN BAFF AND A BR3 DERIVED PEPTIDE PRESENTED IN A BETA-HAIRPIN SCAFFOLD - REVEALS AN ADDITONAL COPY OF THE PEPTIDE.
78, 3v56E, 0.7546, 2.25, 0.176, 144, 108, RE-REFINEMENT OF PDB ENTRY 1OSG - COMPLEX BETWEEN BAFF AND A BR3 DERIVED PEPTIDE PRESENTED IN A BETA-HAIRPIN SCAFFOLD - REVEALS AN ADDITONAL COPY OF THE PEPTIDE.
79, 1osgB, 0.7545, 2.22, 0.167, 144, 108, COMPLEX BETWEEN BAFF AND A BR3 DERIVED PEPTIDE PRESENTED IN A BETA-HAIRPIN SCAFFOLD
