No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d1u6iC_, 1.0000, 0.00, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.2A RESOLUTION
2, d1u6iI_, 0.9999, 0.01, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.2A RESOLUTION
3, d1u6iF_, 0.9992, 0.17, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.2A RESOLUTION
4, d1u6jI_, 0.9991, 0.18, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.4A RESOLUTION
5, d1u6jC_, 0.9991, 0.18, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.4A RESOLUTION
6, d1u6jF_, 0.9986, 0.23, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.4A RESOLUTION
7, d3iqfA_, 0.9981, 0.27, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
8, d3iqfG_, 0.9980, 0.28, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
9, d3iqfD_, 0.9980, 0.27, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
10, d3iqfC_, 0.9980, 0.27, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
11, d1u6iD_, 0.9980, 0.28, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.2A RESOLUTION
12, d3iqzC_, 0.9979, 0.28, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN
13, d3iqzA_, 0.9979, 0.28, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN
14, d3iqfL_, 0.9979, 0.28, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
15, d3iqfB_, 0.9979, 0.28, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
16, d1u6iJ_, 0.9979, 0.28, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.2A RESOLUTION
17, d3iqzF_, 0.9978, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN
18, d3iqzD_, 0.9978, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN
19, d3iqzB_, 0.9978, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN
20, d3iqfK_, 0.9978, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
21, d3iqfJ_, 0.9978, 0.28, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
22, d3iqfI_, 0.9978, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
23, d3iqzE_, 0.9977, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN
24, d3iqfE_, 0.9977, 0.29, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
25, d3iqfF_, 0.9976, 0.30, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
26, d1u6jD_, 0.9976, 0.30, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.4A RESOLUTION
27, d3iqfH_, 0.9975, 0.31, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHENYL-TETRAHYDROMETHANOPTERIN
28, d3iqeC_, 0.9975, 0.30, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN AND COENZYME F420
29, d3iqeA_, 0.9975, 0.30, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN AND COENZYME F420
30, d1u6jJ_, 0.9975, 0.31, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.4A RESOLUTION
31, d3iqeF_, 0.9974, 0.31, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN AND COENZYME F420
32, d3iqeB_, 0.9974, 0.32, 1.000, 282, 282, STRUCTURE OF F420 DEPENDENT METHYLENE-TETRAHYDROMETHANOPTERIN DEHYDROGENASE IN COMPLEX WITH METHYLENE-TETRAHYDROMETHANOPTERIN AND COENZYME F420
33, d1u6iE_, 0.9974, 0.32, 1.000, 282, 282, THE STRUCTURE OF NATIVE COENZYME F420-DEPENDENT METHYLENETETRAHYDROMETHANOPTERIN DEHYDROGENASE AT 2.2A RESOLUTION
