No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1tyqF, 1.0000, 0.00, 1.000, 166, 166, CRYSTAL STRUCTURE OF ARP2/3 COMPLEX WITH BOUND ATP AND CALCIUM
2, 3uleF, 0.9988, 0.16, 1.000, 167, 166, STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK-869 AND ATP
3, 2p9kF, 0.9985, 0.18, 1.000, 167, 166, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ATP AND CROSSLINKED WITH GLUTARALDEHYDE
4, 2p9iF, 0.9982, 0.20, 1.000, 167, 166, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ADP AND CROSSLINKED WITH GLUTERALDEHYDE
5, 1u2vF, 0.9978, 0.23, 1.000, 166, 166, CRYSTAL STRUCTURE OF ARP2/3 COMPLEX WITH BOUND ADP AND CALCIUM
6, 3dxkF, 0.9976, 0.23, 1.000, 167, 166, STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK0944636
7, 3dxmF, 0.9975, 0.24, 1.000, 167, 166, STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK0993548
8, 1k8kF, 0.9974, 0.24, 1.000, 167, 166, CRYSTAL STRUCTURE OF ARP2/3 COMPLEX
9, 3ukrF, 0.9969, 0.27, 1.000, 167, 166, CRYSTAL STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK-666
10, 3rseF, 0.9969, 0.27, 1.000, 167, 166, STRUCTURAL AND BIOCHEMICAL CHARACTERIZATION OF TWO BINDING SITES FOR NUCLEATION PROMOTING FACTOR WASP-VCA ON ARP2/3 COMPLEX
11, 3ukuF, 0.9966, 0.28, 1.000, 166, 166, STRUCTURE OF ARP2/3 COMPLEX WITH BOUND INHIBITOR CK-869
12, 2p9lF, 0.9960, 0.31, 1.000, 166, 166, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX
13, 2p9nF, 0.9956, 0.32, 1.000, 167, 166, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ADP
14, 2p9sF, 0.9952, 0.34, 1.000, 167, 166, STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ATP/MG2+
15, 2p9uF, 0.9949, 0.34, 1.000, 167, 166, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH AMP-PNP AND CALCIUM
16, 4jd2F, 0.9918, 0.44, 1.000, 166, 166, CRYSTAL STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX BINDING WITH MUS MUSCULUS GMF
17, 2p9pF, 0.9909, 0.27, 1.000, 165, 165, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ADP
