No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2ahcD_, 1.0000, 0.00, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
2, d2ahcB_, 0.9850, 0.65, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
3, d1g81A_, 0.9646, 0.98, 0.994, 164, 164, CHORISMATE LYASE WITH BOUND PRODUCT ORTHORHOMBIC CRYSTAL FORM
4, d1jd3A_, 0.9645, 1.00, 0.994, 164, 164, CHORISMATE LYASE G90A MUTANT WITH BOUND PRODUCT
5, d2ahcA_, 0.9639, 1.01, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
6, d1xlrA_, 0.9629, 1.02, 0.994, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILLATE
7, d1fw9A_, 0.9566, 1.08, 1.000, 164, 164, CHORISMATE LYASE WITH BOUND PRODUCT
8, d1tt8A_, 0.9548, 1.08, 1.000, 164, 164, CHORISMATE LYASE WITH PRODUCT 1.0 A RESOLUTION
9, d1g1bA_, 0.9515, 1.10, 1.000, 164, 164, CHORISMATE LYASE (WILD-TYPE) WITH BOUND PRODUCT
10, d1g1bB_, 0.9490, 1.14, 0.988, 164, 164, CHORISMATE LYASE (WILD-TYPE) WITH BOUND PRODUCT
11, d2ahcC_, 0.9477, 1.17, 0.988, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
12, d2nwiA1, 0.7132, 1.29, 1.000, 164, 164, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
13, d2nwiF_, 0.7115, 2.48, 0.171, 159, 140, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
14, d2nwiD2, 0.7110, 2.48, 0.171, 159, 140, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
