No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2xpcA, 1.0000, 0.00, 1.000, 434, 199, SECOND-GENERATION SULFONAMIDE INHIBITORS OF MURD: ACTIVITY OPTIMISATION WITH CONFORMATIONALLY RIGID ANALOGUES OF D- GLUTAMIC ACID
2, 2y68A, 0.9994, 0.13, 1.000, 434, 199, STRUCTURE-BASED DESIGN OF A NEW SERIES OF D-GLUTAMIC ACID- BASED INHIBITORS OF BACTERIAL MURD LIGASE
3, 2wjpA, 0.9994, 0.12, 1.000, 434, 199, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH D-GLU CONTAINING RHODANINE INHIBITOR
4, 2x5oA, 0.9992, 0.15, 1.000, 438, 199, DISCOVERY OF NOVEL 5-BENZYLIDENERHODANINE- AND 5-BENZYLIDENE- THIAZOLIDINE-24-DIONE INHIBITORS OF MURD LIGASE
5, 2uupA, 0.9979, 0.25, 0.995, 438, 199, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH D-GLU CONTAINING SULFONAMIDE INHIBITOR
6, 2y67A, 0.9954, 0.72, 0.995, 434, 199, NEW 5-BENZYLIDENETHIAZOLIDINE-4-ONE INHIBITORS OF BACTERIAL MURD LIGASE: DESIGN SYNTHESIS CRYSTAL STRUCTURES AND BIOLOGICAL EVALUATION
7, 2y66A, 0.9946, 0.09, 1.000, 433, 198, NEW 5-BENZYLIDENETHIAZOLIDINE-4-ONE INHIBITORS OF BACTERIAL MURD LIGASE: DESIGN SYNTHESIS CRYSTAL STRUCTURES AND BIOLOGICAL EVALUATION
8, 2jfgA, 0.9944, 0.42, 0.995, 438, 199, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH UMA AND ADP
9, 2y1oA, 0.9940, 0.50, 1.000, 434, 199, DUAL-TARGET INHIBITOR OF MURD AND MURE LIGASES: DESIGN SYNTHESIS AND BINDING MODE STUDIES
10, 2jffA, 0.9894, 0.12, 1.000, 432, 197, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH D-GLU CONTAINING SULFONAMIDE INHIBITOR
11, 2vteA, 0.9890, 0.16, 1.000, 432, 197, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH D-GLU CONTAINING SULFONAMIDE INHIBITOR
12, 2vtdA, 0.9887, 0.18, 1.000, 433, 197, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH D-GLU CONTAINING SULFONAMIDE INHIBITOR
13, 5a5fA, 0.9821, 0.65, 1.000, 433, 198, CRYSTAL STRUCTURE OF MURD LIGASE FROM ESCHERICHIA COLI IN COMPLEX WITH UMA AND ADP
14, 4uagA, 0.9763, 0.35, 0.995, 428, 195, UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE
15, 3uagA, 0.9762, 0.83, 0.995, 429, 196, UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE
16, 2jfhA, 0.9739, 0.16, 0.995, 429, 194, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH L-GLU CONTAINING SULFONAMIDE INHIBITOR
17, 2uuoA, 0.9738, 0.17, 1.000, 428, 194, CRYSTAL STRUCTURE OF MURD LIGASE IN COMPLEX WITH D-GLU CONTAINING SULFONAMIDE INHIBITOR
18, 1uagA, 0.9714, 0.34, 1.000, 427, 194, UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE
19, 2uagA, 0.9703, 0.86, 0.995, 428, 195, UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE
20, 5a5eA, 0.9576, 0.62, 0.974, 431, 193, CRYSTAL STRUCTURE OF MURD LIGASE FROM ESCHERICHIA COLI
21, 1eehA, 0.9495, 0.79, 0.995, 431, 193, UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE
22, 1e0dA, 0.9495, 0.85, 0.990, 429, 193, UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE
23, 3lk7A, 0.8757, 1.68, 0.317, 438, 189, THE CRYSTAL STRUCTURE OF UDP-N-ACETYLMURAMOYLALANINE-D- GLUTAMATE (MURD) LIGASE FROM STREPTOCOCCUS AGALACTIAE TO 1.5A
24, 2wtzC, 0.8694, 2.42, 0.245, 438, 196, MURE LIGASE OF MYCOBACTERIUM TUBERCULOSIS
25, 2xjaD, 0.8693, 2.43, 0.245, 487, 196, STRUCTURE OF MURE FROM M.TUBERCULOSIS WITH DIPEPTIDE AND ADP
26, 2xjaC, 0.8693, 2.43, 0.245, 497, 196, STRUCTURE OF MURE FROM M.TUBERCULOSIS WITH DIPEPTIDE AND ADP
27, 2xjaB, 0.8693, 2.43, 0.245, 499, 196, STRUCTURE OF MURE FROM M.TUBERCULOSIS WITH DIPEPTIDE AND ADP
28, 2wtzB, 0.8690, 2.43, 0.245, 507, 196, MURE LIGASE OF MYCOBACTERIUM TUBERCULOSIS
29, 2wtzD, 0.8688, 2.43, 0.245, 467, 196, MURE LIGASE OF MYCOBACTERIUM TUBERCULOSIS
30, 2xjaA, 0.8687, 2.43, 0.245, 501, 196, STRUCTURE OF MURE FROM M.TUBERCULOSIS WITH DIPEPTIDE AND ADP
31, 2wtzA, 0.8684, 2.43, 0.245, 503, 196, MURE LIGASE OF MYCOBACTERIUM TUBERCULOSIS
32, 4c12A, 0.8581, 2.50, 0.210, 492, 195, X-RAY CRYSTAL STRUCTURE OF STAPHYLOCOCCUS AUREUS MURE WITH UDP-MURNAC-ALA-GLU-LYS AND ADP
33, 4c13A, 0.8577, 2.51, 0.210, 489, 195, X-RAY CRYSTAL STRUCTURE OF STAPHYLOCOCCUS AUREUS MURE WITH UDP-MURNAC- ALA-GLU-LYS
34, 4qf5B, 0.8409, 2.56, 0.258, 452, 194, CRYSTAL STRUCTURE I OF MURF FROM ACINETOBACTER BAUMANNII
35, 4qf5A, 0.8397, 2.56, 0.258, 458, 194, CRYSTAL STRUCTURE I OF MURF FROM ACINETOBACTER BAUMANNII
36, 4qdiA, 0.8327, 2.69, 0.253, 457, 194, CRYSTAL STRUCTURE II OF MURF FROM ACINETOBACTER BAUMANNII
37, 1e8cB, 0.8287, 2.69, 0.255, 484, 192, STRUCTURE OF MURE THE UDP-N-ACETYLMURAMYL TRIPEPTIDE SYNTHETASE FROM E. COLI
38, 4cvmA, 0.8274, 2.84, 0.264, 443, 193, PAMURF IN COMPLEX WITH AMP-PNP AND UDP-MURNAC-TRIPEPTIDE (MDAP)
39, 4ziyA, 0.8252, 2.61, 0.251, 446, 191, STRUCTURE OF UDP-N-ACETYLMURAMOYLALANYL-D-GLUTAMYL-26- DIAMINOPIMELATE--D-ALANYL-D-ALANYL LIGASE FROM ACINETOBACTER BAUMANNII
40, 1e8cA, 0.8252, 2.74, 0.260, 482, 192, STRUCTURE OF MURE THE UDP-N-ACETYLMURAMYL TRIPEPTIDE SYNTHETASE FROM E. COLI
41, 1jbvA, 0.8244, 2.87, 0.154, 403, 195, FPGS-AMPPCP COMPLEX
42, 3eagA, 0.8240, 2.66, 0.193, 316, 192, THE CRYSTAL STRUCTURE OF UDP-N-ACETYLMURAMATE:L-ALANYL-GAMMA-D- GLUTAMYL-MESO-DIAMINOPIMELATE LIGASE (MPL) FROM NEISSERIA MENINGITIDES
43, 2gcaA, 0.8230, 2.88, 0.149, 410, 195, APO FORM OF L. CASEI FPGS
44, 2gcbA, 0.8220, 2.88, 0.164, 407, 195, G51S/S52T DOUBLE MUTANT OF L. CASEI FPGS
