No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4jyoX, 1.0000, 0.00, 1.000, 217, 217, STRUCTURAL BASIS FOR ANGIOPOIETIN-1 MEDIATED SIGNALING INITIATION
2, 4k0vB, 0.9914, 0.51, 1.000, 217, 217, STRUCTURAL BASIS FOR ANGIOPOIETIN-1 MEDIATED SIGNALING INITIATION
3, 4epuB, 0.9780, 0.82, 1.000, 215, 215, ANG1 FIBRINOGEN-RELATED DOMAIN (FRED)
4, 4jzcA, 0.9779, 0.94, 0.659, 218, 217, ANGIOPOIETIN-2 FIBRINOGEN DOMAIN TAG MUTANT
5, 4epuA, 0.9778, 0.82, 1.000, 215, 215, ANG1 FIBRINOGEN-RELATED DOMAIN (FRED)
6, 4zfgA, 0.9763, 0.90, 0.645, 220, 217, DUAL-SPECIFICITY FAB 5A12 IN COMPLEX WITH ANGIOPOIETIN 2
7, 1z3sB, 0.9707, 0.93, 0.639, 216, 216, ANGIOPOIETIN-2 RECEPTOR BINDING DOMAIN
8, 1z3sA, 0.9701, 0.95, 0.639, 216, 216, ANGIOPOIETIN-2 RECEPTOR BINDING DOMAIN
9, 2gy7A, 0.9696, 0.94, 0.639, 216, 216, ANGIOPOIETIN-2/TIE2 COMPLEX CRYSTAL STRUCTURE
10, 1z3uB, 0.9676, 1.00, 0.634, 216, 216, STRUCTURE OF THE ANGIOPOIETIN-2 RECPTOR BINDING DOMAIN AND IDENTIFICATION OF SURFACES INVOLVED IN TIE2 RECOGNITION
11, 1z3uC, 0.9674, 1.01, 0.634, 216, 216, STRUCTURE OF THE ANGIOPOIETIN-2 RECPTOR BINDING DOMAIN AND IDENTIFICATION OF SURFACES INVOLVED IN TIE2 RECOGNITION
12, 1z3uD, 0.9669, 1.01, 0.634, 216, 216, STRUCTURE OF THE ANGIOPOIETIN-2 RECPTOR BINDING DOMAIN AND IDENTIFICATION OF SURFACES INVOLVED IN TIE2 RECOGNITION
13, 1z3uA, 0.9667, 1.02, 0.634, 216, 216, STRUCTURE OF THE ANGIOPOIETIN-2 RECPTOR BINDING DOMAIN AND IDENTIFICATION OF SURFACES INVOLVED IN TIE2 RECOGNITION
14, 1m1jE, 0.9467, 1.48, 0.395, 401, 215, CRYSTAL STRUCTURE OF NATIVE CHICKEN FIBRINOGEN WITH TWO DIFFERENT BOUND LIGANDS
15, 1rf1B, 0.9466, 1.47, 0.391, 299, 215, CRYSTAL STRUCTURE OF FRAGMENT D OF GAMMAE132A FIBRINOGEN WITH THE PEPTIDE LIGAND GLY-HIS-ARG-PRO-AMIDE
16, 2oyhE, 0.9465, 1.47, 0.391, 295, 215, CRYSTAL STRUCTURE OF FRAGMENT D OF GAMMAD298301A FIBRINOGEN WITH THE PEPTIDE LIGAND GLY-HIS-ARG-PRO-AMIDE
17, 1rf1E, 0.9462, 1.46, 0.391, 295, 215, CRYSTAL STRUCTURE OF FRAGMENT D OF GAMMAE132A FIBRINOGEN WITH THE PEPTIDE LIGAND GLY-HIS-ARG-PRO-AMIDE
18, 2ffdE, 0.9460, 1.47, 0.391, 295, 215, FIBRINOGEN FRAGMENT D WITH A KNOB PEPTIDE MIMIC GPRVVE
19, 1jc9A, 0.9457, 1.27, 0.430, 220, 214, TACHYLECTIN 5A FROM TACHYPLEUS TRIDENTATUS (JAPANESE HORSESHOE CRAB)
20, 2oyhB, 0.9456, 1.36, 0.393, 298, 214, CRYSTAL STRUCTURE OF FRAGMENT D OF GAMMAD298301A FIBRINOGEN WITH THE PEPTIDE LIGAND GLY-HIS-ARG-PRO-AMIDE
